gap_group_id	source_name_normalized	work_type	occurrence_rows	project_kinds	source_paths	review_keys	source_keys
NM-0036	철골 승강용트랩	안전가시설작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 안전가시설작업 > 철골 승강용트랩|댐 > 안전가시설작업 > 철골 승강용트랩|빌딩 > 안전가시설작업 > 철골 승강용트랩|아파트 > 안전가시설작업 > 철골 승강용트랩|지하철 > 안전가시설작업 > 철골 승강용트랩|터널 > 안전가시설작업 > 철골 승강용트랩	07048f8435ed1b2fb586b9445abe8db48f6e5b123327de8fae31ea0c14143113|37c94b8186f7fd8d7e827ed8f64dbad05af5d5fdc9f2f0adf38bce91eefbad87|4138aec41041c064ab2a9172bf6294f79afe4147596b501f44b001644ebf30ef|c66ce400746b827f6260ec6c086b556ee8043358625a0ae923daa810a47eb508|c76f78e917704740b2315ec8608fb4130c9626661564a0dd6c5271e77b526539|f998eb537aa8e11e93226d63cff1ae347110637e5f8b7afd16b9e7052a0347e3	0803bdd6d3d40ba15db3e42a50928c73bc8072614d7cf86727a2a64719e350de|2271e711b3742463351a83e3f64b0309393015917b193229a0347d0c9fabd115|5c07b81bf955fdccbb389a1d24707ba0ca23c9ebe671e30befe8a6d529d0ea24|77d7cd347a662ef5da6ac0cb6f06ca14f40d365483326d3bf62c379ecbe655ed|af33f135a6f8e565f71b3b5fcdf2cf86270cfe680465ff7496262df6ec181b9f|d4d8fa7a2b72730b357ede5c942dc26c13c44b991d06200745da86aa271d4a3c
NM-0037	철근절단기 및 절곡기	위험기계기구작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 위험기계기구작업 > 철근절단기 및 절곡기|댐 > 위험기계기구작업 > 철근절단기 및 절곡기|빌딩 > 위험기계기구작업 > 철근절단기 및 절곡기|아파트 > 위험기계기구작업 > 철근절단기 및 절곡기|지하철 > 위험기계기구작업 > 철근절단기 및 절곡기|터널 > 위험기계기구작업 > 철근절단기 및 절곡기	0034ed50e3602b6df931765d1b234ecad0185972b8c1cee1202075cab4dd8288|676b063d54d395d7dc3b8d9f6c5d89353f05091ec43eec6da55a98291932f673|700fc78572748144b0b9f719ca1f03ac7441d95a30f83899a5cda93b1a86de06|8099e6d618400e2cdb92a7b637db1c4863d2399030c6f2e73570e0af72e81de9|a64fd0a1e395e770154ea9c46ae4e126e86013a2f1674b75c0875654eecd9770|d6fd8c85949bde766c819f400f52ba73acd8b1806fa8be2dc6ba0d00244a0d36	3c8ccd69e1699f0c21395796ac454657aed0be772c6fb50e706b4f7f4232ca19|545c88f860cdd92a690f3b2fe44225d19d64d9bccd07b3f9d3254be8aff90ef8|91f7f540feca418fc9b1037f0a9259c4ccbf458c14dbfe3a107586f73dc209f7|92555e605324e8974e406ad85440c457c50047b32443a136056d91a062f73199|9782fca06b81e271b48e09f88ea18403ef6b542e3458ded0d8b11a4c00b654b6|fbea6462a5a2ca60052e24d3b4fed9cf0e1a23e68f24ade0aaf570895ff2161c
NM-0038	추락방지망	안전가시설작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 안전가시설작업 > 추락방지망|댐 > 안전가시설작업 > 추락방지망|빌딩 > 안전가시설작업 > 추락방지망|아파트 > 안전가시설작업 > 추락방지망|지하철 > 안전가시설작업 > 추락방지망|터널 > 안전가시설작업 > 추락방지망	1a81a63241d2a3dd90a787cf8c3600e555827026e9a30a198e932835e54be97b|897ebba40376ccadfb5cbc4ac0caf2e4f6f479d86e725dea6a2e1dd8fb5e7d85|d03bc0bec70f91d7a152eac9c92bd59ef379209d37a3da3cda9bdc5f5e178436|d36bc1086f811de49ccc5296b26aa4c6d3952f61dc45fd3f358663dba59b4a1c|d8f5b71aa2cdb4afb2dad55bf83b1db350caf3e1181c81415f7683c1b3272be3|e3cc1d04cafdee7fa93748df6021738648a425c194ab30c90e218e5a8844d99b	1ada6e9838b9e2b3434a2c7e1bbf0efa6c53721628ebbba4963b6fa376711d52|2858264ab96a5d67aedc51229fd975e34da805d068fe5007f9dae99fb2d863ec|65f0ad508f7a1e287e50c129eddb1bdf533397e85519ed5c879ff5a60a82df12|908f1f486cdda7854b28d44f8417c0497c456575d5cf592180051314e5924a3f|b73e7c0bcfd0b88f163e3058fbb8941e2d8e9d129adb84bc793c2e2949deda3b|c7597142fbf291f590268ceeb5a736a6d7f0712d9ae60c261a50a89a1eef3612
NM-0039	충전부	가설전기작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 가설전기작업 > 충전부|댐 > 가설전기작업 > 충전부|빌딩 > 가설전기작업 > 충전부|아파트 > 가설전기작업 > 충전부|지하철 > 가설전기작업 > 충전부|터널 > 가설전기작업 > 충전부	730625053d36307cc9d8ea0165e58aa715c993eb96f649611350ec7751ba0c29|86181021175aa2c91b3f2be58c7ad220741bb51c7c5d1d531f466aef85efbb32|8e429c4d0270a372c3e3191149f2341ff3d49a8680c32e4b8bc9419071a6f2d2|a1a4bfc8f4a5723719ad4a264938b35eaba3afc903649825c08e16d6affc5ae4|c204ad4b25bd1651f977e4dd241e5ad5d19fb023f936a930dda325988b2e5edc|dedb03a690be9e27ce990afdb5e5f45ff058b7027cd31a3f00ded150b075884a	86b52a5c7b27941a8833415009f6af9369c65ef60f6ed1f516cc2519cbcc3975|903955464a6d486b12c7b44250919b0fc66157e9f5ed4b756d7b284de481ce73|a2fc3f8977d68c26c5aab2b4a03163a8a095556e556695c28f9aa6afc0df80c0|bb16fcf5d1f6bf604585a7d3c493f722587f1c50d12c074423789b10e251100f|c7520213ea812ef7e35329b306e27995055b1d1721d9fe804679d304e276a650|ea6f02036d002043a0007cbd8d3672ede902720f74f559df623c82a377c749c6
NM-0040	타워크레인	양중기작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 양중기작업 > 타워크레인|댐 > 양중기작업 > 타워크레인|빌딩 > 양중기작업 > 타워크레인|아파트 > 양중기작업 > 타워크레인|지하철 > 양중기작업 > 타워크레인|터널 > 양중기작업 > 타워크레인	25557ea859cf6dd328fd65c0b17d625e8cb5f95d2c1885b13aa63cfa86c68108|54e103826c0302af9f880e41952c2388a14edb43fef5f4c3e4abebd4a75507bd|565cfe51bb82cd1d3df3eceb8e5f397c524c6bccbfae902ab42a8a69da637c41|97e388fdaaf67da1103bf1fb9bf0fca2cb6f997576895ec4cc371869c3c1ccb6|aa2e33be5311e3d96c85b917e85c09f04dd11dc32223d215455e0cced9c9eb2c|e407d44ee80c937a06eb0accb379695d221d937bb8434818d997dbc9676ab195	224eb2a7155a72d28f15f6489ac8501297ce85eb348da2e749e333bf055fece6|3c93ff67bf9ffe67b27392d50512a8eb2abe359989bba5fb295e7a709c7ac11b|40bd4ffc4b44a6e114145d10d9af177b7f51cc8e48ca78fc8a692d796e19037c|6f2abb0edc62bd731feba5238646f6c1aaaecb3e63a1662639c6361f6ef24106|702fb8de47f765047bc3bf183ccfd8ed50efe55f07e90732feca926f13e255c5|b8fff74387f80a130c0f59ee2f39e64e1af9f102729cfe1b3c8bff94e982bd50
NM-0041	특수 작업대	양중기작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 양중기작업 > 특수 작업대|댐 > 양중기작업 > 특수 작업대|빌딩 > 양중기작업 > 특수 작업대|아파트 > 양중기작업 > 특수 작업대|지하철 > 양중기작업 > 특수 작업대|터널 > 양중기작업 > 특수 작업대	0601b84169785014ab3d3053231271981e2ca1d601eb316efe8c88035ba6f7e1|63b0eb710e1184860c6ab5e2652c450657a15192bba4b1c3c8b0e19a4d1fdedb|ab1d035d7d71de90b4593d893cc34b5663e56dcf8649ff61a02521e8e84cbe8e|c57024c4fe7e7fbadb6001ea450823f19846240e1299b6be8413882d798fa308|cf290cb46d894e840709968cbd9365cc5397f9b53677dd359278c086ff8bead7|dc33e48518aac310f02af4300e479a270b4e87f959af0f2c267e74cd3e19ff97	0fb20702a43232d966ca868f1593e655aeed3e49b10e89b7c65146216c1d093b|38e90e4e8d816c715dee7a9a7da36692e36082736d3a23b436ea457ca2e7790c|4d03e888f99f9b1beb0f19e81b215849e0a759db782571579944f3ec57866f47|8376cdcfe79feb951159c8d56904d8a83bd680c0396d98b61027257766c9ba49|b0a3330bec95ccd075bf4d69c4b280bdfad5ba7ba7c72d3ca685a8fc4097d373|c8b7f0b3475ab1614bf4af66e468bca51f07fcb7f2e3a6969213795f4470056c
NM-0042	가설플랜트 (숏크리트)	가설플랜트작업	4	교량 및 도로|댐|지하철|터널	교량 및 도로 > 가설플랜트작업 > 가설플랜트 (숏크리트)|댐 > 가설플랜트작업 > 가설플랜트 (숏크리트)|지하철 > 가설플랜트작업 > 가설플랜트 (숏크리트)|터널 > 가설플랜트작업 > 가설플랜트 (숏크리트)	2f64f758c49310bc33b0c0737dc907b8361c5d9738f54e4b960466c90d6d3556|b5e7db35e1f705a2d4b66d5f26358e53975a59f36107e6ecf90d76bd4ba30f8c|def06a3c00ac617abd3363b1a56ee077b7c6db54b44f47ae50ea993beb48902c|f137e9e386fb306b27978ba3b1e51d55138a69dc532a50eb68d35c3518c1c5a3	3a5c9f5a4b8df57ee09cb6b40925b863322cf53dc30a98b80577fce256c26373|86a375f79674bed69eb4e6013ecfbceacddef2319d9d12836ca7ed9d9d3d7bfb|a4f4fc45188b1632caa9ab63f68ca268054024740cff842d49bfd2e544a72d8a|ec97dd7791f31e74d8aadff7b2e9dcf13953124082ddc6383aeb2b95b99f0bfb
NM-0043	가설플랜트 (콘크리트 Batch Plant)	가설플랜트작업	4	교량 및 도로|댐|지하철|터널	교량 및 도로 > 가설플랜트작업 > 가설플랜트 (콘크리트 Batch Plant)|댐 > 가설플랜트작업 > 가설플랜트 (콘크리트 Batch Plant)|지하철 > 가설플랜트작업 > 가설플랜트 (콘크리트 Batch Plant)|터널 > 가설플랜트작업 > 가설플랜트 (콘크리트 Batch Plant)	5039aa8e5cf917d7b4780ed32a19739439a266a64a7d52f3d9a10f99813a3f99|72a6e9e02145e2178162856d2aa8294d4fcf9452f50fe7a1e278be2e7926096d|774a9e79267a039b3d161cc8953d554f2dc9a5d22a9ff7e0c530819b6f7518cd|ee2165e72aceb16b6d4947d918cf18799f2c39a69dbf148f57c6f8c0c2691a3b	6d1a001d3bb22438efd4a924642df27eb9838e1ac5dd8a1a4fb72a78f241c730|8c97a2cb4abbee0941d6172ac2fe0ab19c3f9f73024710bd4906a8d44f364269|bc78f44c9167a4f55446f25b21aeccf6070d6fd9f7c86859affb1183d1e6a559|e27ec13e1a3f258f6428d9015888090f30bca582151e510712dfc3d954309a29
NM-0044	가설플랜트 (크라샤 Plant)	가설플랜트작업	4	교량 및 도로|댐|지하철|터널	교량 및 도로 > 가설플랜트작업 > 가설플랜트 (크라샤 Plant)|댐 > 가설플랜트작업 > 가설플랜트 (크라샤 Plant)|지하철 > 가설플랜트작업 > 가설플랜트 (크라샤 Plant)|터널 > 가설플랜트작업 > 가설플랜트 (크라샤 Plant)	5a0a4340adf9b597b86e800a459d2ca2ffdb5e4c4908193ccf7f21f947fdd924|67f592e36f10946cdc7cc8358d5c16df3ff7a0b105af5b159dc4c9f39a2dbf53|c9ef40978eaa0af46650c3117fbd9fd4c575d82ddf2ef785d6167f7f2b413293|eac0aac6c060d4fa3c6362f9db186cbe83342b83fd01b1804d13ba9c952a8d42	1b5d4020f5c95c145e356cf5e3af056dd74268530ce278c01b31b435a1a380e9|47d4f4721447d7696851fd3ada8bdcc7dcfd63778b7854b27a128ca43868d553|c16c72a3149c02ffd62f667ecf843ed598ad0a737a2c30147a28ea97c3efd1a0|c50cf3765ba0e886e63fcc7bc89389e6ba903855e8057e7fcc00cf3bced53a71
NM-0045	전기 특고압선로	전기설비작업	3	빌딩|아파트|지하철	빌딩 > 전기설비작업 > 전기 특고압선로|아파트 > 전기설비작업 > 전기 특고압선로|지하철 > 전기설비작업 > 전기 특고압선로	387497a94338107be527c16644542057866c6e5983b3335280c609ad114ad9c5|5dccea2ddf6d842eee1045b5713de253c079cf0a702e55ee0bf69b026d29ba3c|ce29b6ffb019aa27a6c0e88d32631f2e168912b09086e3f9fb61d2f78eab31cf	43092bae16ae67b732779e0e21173346f90260a141d7435dc92e119fca13c915|8f78f7b35fa9286a7751e8346a2ec8dec563f20b727345f32fb50c18dccc395d|9d4d1116c36361c04be1d19dd9e59b8b1c96212d2cdbc74d0711878c5086fabb
