review_key	source_key	family_key	work_big	work_mid	name_raw	name_normalized	path_raw	semantic_decision	mapping_type	target_canonical_id	target_canonical_name	owner_default	production_candidate
f7b54e6628813188d5b9ab1a40b5d0e4d839e028fcac76c80f55670f9a5acb94	33a8a48f6dc4aa96aa7c7f91398745c7260a3c583d30c43c6d35b0fca05e210f	2952b47b898b60f09f2cd04e8217794992537f4b967d23dee4d2a8bf2aeb3258	토목	철도 및 궤도공사	정비작업	정비작업	토목 > 철도 및 궤도공사 > 정비작업	CANONICAL_GAP				HOLD	NO
f7bf6c96d77e8cc0960255303afae249e5a6dd47f52c2be9c5d42b7fb35021e8	529d49796d2a2893c29900dd8f9f1fa39edca836cb9ba198af02834033ba0ffa	ef3b17761779d30710ba66b1a0c39ad7c3360cd385349525037715f2c5f8f48c	건축	금속공사	거치작업	거치작업	건축 > 금속공사 > 거치작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
f7c1c1346e0ffa9fe90eb014fab997e55e667ba124c420e5b6c34134ee99b0c4	00f584fe5c4d09e1fb449951c1ff4b9ac411436e3cfe0677573a175d714443c1	a061f38c4032ce113a6f576c3b1cc9e096cea0537d9569ce5d979ff5ba3f86dd	기타	기타	상차 및 하역작업	상차 및 하역작업	기타 > 기타 > 상차 및 하역작업	CANONICAL_GAP				HOLD	NO
f7dd401e2e19f25bf97b745ef13308e119c6f5024f96a5706667dda8617c3d2e	b3f1f83621bdd316c19d72369144cbb9241c0e53598da1fa4e7d01a31d4c6613	cf5fea65784d96e176786807861c6e1dc09cbf17dd41bc7cd1c340efc5171e1b	기계설비	기계설비공사	연결작업	연결작업	기계설비 > 기계설비공사 > 연결작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
f8429e9c1b7530ce4f3ebabf1209833295928460dbe53938436e0ec99191418c	7e2078e7ada138bb87e8625e321dcc636f07e9f7d373c22375eda937fcb291c1	079391c8343fceeb126f842f6d76e7031a22cbf92bceb56fd510d0b1e811b703	토목	해체 및 철거공사	벌목작업	벌목작업	토목 > 해체 및 철거공사 > 벌목작업	CANONICAL_GAP				HOLD	NO
f8aa839334147394a03b3bf9489c50637b1a3369c0ebd07ac09dbc9dc2fdda44	b65f396b837bde88c9e769c5dccdc47c585aa8d23faef2b7554a5e1945f54a36	bd0485e938079a0f3212b49f32b13b1e7a0d8d998700c754c64ba64251caeb2c	토목	지반조사	설치작업	설치작업	토목 > 지반조사 > 설치작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
f9046c2ec683f3c33d367c092ee70fe6998bf86330b25c24968ab31db7956c1f	6981227fd65395df92cb84caed3c551385cdf7456391ddb043fefc743125abeb	e887ede926e89a1e5cacb4680a187b2a5881475e353235e12a6a8598b51f0cb2	토목	하천공사	조립작업	조립작업	토목 > 하천공사 > 조립작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
f9546d3faf7ad6b59e61d1a45955641e44108dbcea089c4cb95579f417a8b7cd	2d19fa64f68bb9ffd6695784a0e661a90f7ea8e228ab77a5df30bbc0a9211ce5	f6361061b822a9a71314c4764e7bdc336f7ab6f9979c095e10c4c657a166e203	기타	기타	천공작업	천공작업	기타 > 기타 > 천공작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
f959c954f0fa4a8e7a59173d8b95fbfa413d0dbe62713787cb0d5312115aaf28	c992d71564fbb785f10c2633ff2abdbd19a131a921805d21266556806859eadf	282d033d279da81ab42162f2cdf4c2bf2ba05e217d927dc36197cd732c5a3b97	토목	터널공사	기타	기타	토목 > 터널공사 > 기타	NO_MATCH	NO_MATCH			REJECT	NO
f961ef2156257815d644cc5363959efdb87d5fb5d3993470f877c8d235fdeeb2	053463091ccc1102174ae9986dcd641651979d365d475a8bd32090730e1f38cf	ffb965e265ea89a5f9caa94da676c09b040a85aa3d1e01d2a0b89550f6a1e3d9	토목	교량공사	형틀 및 목공	형틀 및 목공	토목 > 교량공사 > 형틀 및 목공	CANONICAL_GAP				HOLD	NO
f9a383ba60ec888516a02bc9288a607edac52a3b16e393dea3fc96472f8ecd9a	80bc2e4189b00848cb1a665228c27373fefb03b0f089373a0a5a343e58ab7db9	b1d6b393b80eb3d2952fefdf0d7b27e2d89a40311350d9e8345f9cc2d1f846f1	전기설비	가설공사	굴착작업	굴착작업	전기설비 > 가설공사 > 굴착작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
f9baeb62b150a75c6ad8d4d3e830f8416ff65edb47f09d5e72c3d1a58d8cb5f1	704699169af4b532e32a54b5f2c0a353728e63cb50e887ec30a32b01c94cd8cb	cf5188a72ceab1ccd264117d85b4fdfffe7d059db4a699c96f8558861c4e4bcb	건축	건축 토공사	부설 및 다짐작업	부설 및 다짐작업	건축 > 건축 토공사 > 부설 및 다짐작업	CANONICAL_GAP				HOLD	NO
fa28944e0729670db7c62828069c699f7fdce8af548564de5ebb997e9cfee75d	85fd02acec1d699ea0a4c5d49c0b8ae22f8a0789f3b6ea15caaead7d7ec379b1	b1d6b393b80eb3d2952fefdf0d7b27e2d89a40311350d9e8345f9cc2d1f846f1	건축	건축 토공사	굴착작업	굴착작업	건축 > 건축 토공사 > 굴착작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
fa669ff46be79644bad067603b2e9bccd6fa6789fb17ce97dd79dc1b3cd505d8	4505edb0308cc8894c41c7d0a44b1219da2aab7dccc7cbc19aa4e24be47595f6	bd0485e938079a0f3212b49f32b13b1e7a0d8d998700c754c64ba64251caeb2c	건축	방수공사	설치작업	설치작업	건축 > 방수공사 > 설치작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
