source_key	parent_source_key	work_big	work_mid	name_raw	name_normalized	path_raw
2f8761b5c4b2314a775af894bdb3bf9c42874538e35953f705f63b8c5a05bf64	bd63b86849b17eaec8a24b486c591faee838a3fcee521ec77f2f21f4894a7921	건축	수장공사	고소작업	고소작업	건축 > 수장공사 > 고소작업
cc2d5d948fef10caa180233137fe37d8212b410cee85f26b1f08a361bfcb90c4	b269349bad4492fd16f17ec5fab96c188f5fee8874b2946940dc99dbd58082e8	건축	지붕 및 홈통공사	고소작업	고소작업	건축 > 지붕 및 홈통공사 > 고소작업
00a83519381c000b3910a8f643aa18ef1f6e88b9638db25d0fe85bb737721f95	12c797fc1a286822ecca81b0ab458d0fcaad2e02b003379c7dfe4bcd2ee1a3f0	건축	창호 및 유리공사	고소작업	고소작업	건축 > 창호 및 유리공사 > 고소작업
532607d664a2206df1219fddc7274657c5c260b90359f62a5a32bdcbb4176116	1bda673e67d9a12e21efca383859477c9ee86d489623313ec64c630192394805	건축	철골공사	고소작업	고소작업	건축 > 철골공사 > 고소작업
c8c900acf899f25f9462a0ce28926e85e7c8ddc92def3b2b692bbe0bb41b7a9b	3143a03fce721cb2d976b2aed78c9b1b10edcfa04d206f1dcddf59340f1e6b18	건축	철근콘크리트공사	고소작업	고소작업	건축 > 철근콘크리트공사 > 고소작업
59a170ce97cc81abed021bc79f8d1a543deede9263c20d3d58ad5d5e098b410b	820faab310f22cba05496a1ec78811fece6464030919cc343a9bff3b2e3b9571	건축	타일 및 돌공사	고소작업	고소작업	건축 > 타일 및 돌공사 > 고소작업
f6b2b0363c29bcaf086b2574883f1bdfbfef9ba9894531bbf0801032c20f3522	92780acb02509d83e67eb6aa04be60122fe8cc8344750f4b420cbb1826c665cd	기계설비	기계설비공사	고소작업	고소작업	기계설비 > 기계설비공사 > 고소작업
cdb5e608c5dea5c314cd0785242b28b66e5599474f2cf487cb5fdbdfbc49fa26	36f84dc937e94c7f2d307dbb7c398c9e7ce45d7161a7d8c742eadc62482cd751	기타	기타	고소작업	고소작업	기타 > 기타 > 고소작업
390ec8677608727f0564f239d6d40753453243b06afb0d7a26628c5e15abc4cb	7184418b3260b94cb289fc430ec6870768631cedc0276f08da75d1fd21634329	토목	가설공사	고소작업	고소작업	토목 > 가설공사 > 고소작업
8cca42b213d17baac3f5267dc243c3ae13706bad85eb67e5f9ee7f6e5f4f781a	1ffaed9eb99ad7a3e2933a29394d986da2eef6b40a53650f4dae02e33b6f8718	토목	강구조물공사	고소작업	고소작업	토목 > 강구조물공사 > 고소작업
0a2392e9f7a8949e4464234a7348b2077e6171b3f8898d673245e9b1dd5406a2	6142818dbeca390db750ed5b8ab72ccae2f3848dc1bf54063f0fc7f4d8d552a2	토목	관공사	고소작업	고소작업	토목 > 관공사 > 고소작업
30eb443a715d2d3f85824c1a571c67a9993ce33242444d1f894845e24b772482	7d97163b1558c6a7a2824a97cca8eac37d3e3f1b9c823e21ea840677d1420e38	토목	관공사 부대공사	고소작업	고소작업	토목 > 관공사 부대공사 > 고소작업
7f36cfbc16de8c8b5c2bbce5cd6d9afa842c22ecefe17490cd60b9b53f670d7d	2438c2b03171c8e6534f7020c743b9249b389886e7e9d7e081fc1977f09970a2	토목	교량공사	고소작업	고소작업	토목 > 교량공사 > 고소작업
90b1524398f89329ce3f9e50ebea9330c2c4127f95fbefd19b6afaef3e6dfe34	0f74161b28a96d20a1cd347de2d86209e75941c55dc29d08c4e42dd2d7da2b57	토목	댐 및 제방공사	고소작업	고소작업	토목 > 댐 및 제방공사 > 고소작업
5b9ba513d20d99bd2e28126ac0726b1950f068ff5b4c526220d60bb99c5f60cc	9039310779ad406faf8b2990ff1819ffac9770f931566c02270ccc7a604f177e	토목	도로 및 포장공사	고소작업	고소작업	토목 > 도로 및 포장공사 > 고소작업
b61f023745c4aa0721141ab9e774e4ea88d84aad4199edfc684177fd7bc87465	e69cac9d45fe928cd4a40876d9f5ab38e4da36b946be0b4d1183887495d731e4	토목	철근콘크리트공사	고소작업	고소작업	토목 > 철근콘크리트공사 > 고소작업
d5e61ccb84dec3ec07a1982c6d3fc6fc23fae9269756fc4eaa20e6f3d212d23c	656ab8544db01eb4f69dbbe4e0aed46f8e974318ec2b5a02418d8a6d4121cbb3	토목	철도 및 궤도공사	고소작업	고소작업	토목 > 철도 및 궤도공사 > 고소작업
f3bbb6f16824064534771600371b499f73987e50c0fbb0bc4cb8b635eaa955a8	d781735c3affaf0eac8b0645b21bb4e1ada1f24922cf9ba9bf90c033826b21c5	토목	터널공사	고소작업	고소작업	토목 > 터널공사 > 고소작업
0097dddcf5c3cd91b17fc9e6e896c79e5f95974c60bedd1b6dc29f023f837082	53ad3ee18d06b1c5945f1561d9d0a019b575a9f59dba70d67a6f2e7482581949	토목	토공사	고소작업	고소작업	토목 > 토공사 > 고소작업
6263183d1835e08d73d898e76901c5633c50be852d6d7728fc693345cd9f2f47	3004e0d20c6003920e6c7e0d856ddf2908aa975470afa0e46154a70cef1fe097	토목	하천공사	고소작업	고소작업	토목 > 하천공사 > 고소작업
