source_id	source_sha256	raw_row_count	unique_record_count	planned_node_count	planned_record_count	planned_membership_count	identity_status	occurrence_sum
CIC_W	bef821019cd32ad9512f865d179852652d1f7aa9536be41b68c6e403fe0baa29	1722	1722	1722	0	1722	PASS	1722
KOSHA_CONSTRUCTION_PROCESS	8e98fbb66d9e152a03425338d27fc738172cdf6dd5d46a36e7a5a06d80012b91	626	620	787	0	787	HOLD	626
KALIS_RISK_PROFILE	399dbe64dcf1b5d1445fd51e968070dd26e0a40583f8e0afc5e9219839c958c8	47559	30696	816	30696	31512	PASS	47559
