review_concept_key	canonical_id	node_kind	parent_review_concept_key	parent_canonical_id	name	name_normalized	origin_type	status	approval_id	approval_package_sha	amendment_approval_id	amendment_package_sha	materialization_id
c9c24e10dd9da5cc97f2759cb026e93a4fcdf6d9824dc3d76e9769c3ecf10552	911b5ce9-e3ee-4d09-b661-dda9e08b1554	PROCESS	07d7c21945459092bbedab343d46779dae0e304fd054608896eace638286e5fd	38cf8fe5-03e8-4909-bc6b-f1b6e1c21b4a	보안전기설비공사	보안전기설비공사	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
c9c4521ff455e82e19593d46c554660ca8f03502e3b5ea8541cdc8577aac8b26	70e91fe0-a738-48cf-af90-0d2ffe293e44	PROCESS	8e427c41a499859f488d13811e80764344c40611ad01a97d0b1eda8ed5b998a7	ed21dcbb-1042-4d62-831e-79a85944b611	조력발전시설설비공사	조력발전시설설비공사	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
c9c82aa3be8b44433c0e8c2b6b2029641b83ffbcc6cd5d1819d9cde749c7cb74	5227a116-af13-419c-a618-89d084694406	TASK	aaec78d5502f2db4c028c040ca27b613454195907c0e2b949fbd0b2ab181d5f3	277e2963-cbe3-4e70-a6cb-6383c37b6767	경하중포장보수	경하중포장보수	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
ca55317c06ce553d789677f42d5546ba12c11875cd703dcf95a198b849b97a09	ac6f8edf-db7a-4b43-8111-cf08693e635f	TASK	3d48573e1d316e06b26b513b3d1b0f6ce573017dffb0fd382f18aa346ee5e727	69f8d873-5093-4204-9150-57d65de28751	뿜칠형벽체단열	뿜칠형벽체단열	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cb142b6da079d1a3769d2c93db8a4f00f3eaf3f87f940f7212fe5312604d74bf	18ec1247-04e1-445e-849a-0910f448c6be	PROCESS	fce048a6ba4d60e4520ac1f54189361e1b473e1bab9f15c88000e42fa44abe0c	7883246b-2742-4708-9868-5b5be29afbe5	건축관리시험(토공 기초 구조체)	건축관리시험(토공 기초 구조체)	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cb57b7cc00b32ad8a7e6891a9cc6fae03c825f0e513d7f8b6fbfd5c059c894c2	4491bee1-cdba-4618-bb57-8db92fa0bad5	TASK	daca4d1a841eb6dc9c1b6685742ee5e1235381037547a32d2f32d4de8140102b	b5bc9eb5-87b3-40b3-a882-ecb2aed5d9ba	너와지붕잇기	너와지붕잇기	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cb81d3e00ea3cbce6ea5d0f6e0f85887305661ffa3a7415151a9dd1589066094	3bc516e9-76ac-435e-9d73-6741ce126958	PROCESS	9064599e4c516b9459a0dde55a7cd5c7ca9acff7a534ff825f9a435ccca26d89	703804cc-8ce0-4eb2-95f0-62f7121dce30	산업설비공통시설유지정비공사	산업설비공통시설유지정비공사	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cb9b113ada8c9f1f8f49bc31d3e53dfb7479362985e327894c5c0c18d04111bb	2981d229-7f15-4cc6-87e8-7b65fb418dae	TASK	43b1a189bbf02fb3ce567f440980c23d9a28a5fb5594f4f5a703ac6331f5fdfe	03e39a42-dde8-46e5-801a-859b93fed859	유희시설물설치	유희시설물설치	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cba5aa7d079256748882b44303797ec104ab20f2e5e1b0769e6970b42e7165cb	18ccd6e4-bcbe-4180-853e-ff87b990abdc	PROCESS	2f3b01e8d351eb48adb6117e951ecfeeaf03c78bd08c61a35b5df23bc3600dd4	425b84b0-62dd-4f3e-b2e7-09edf62b8698	위생기구류공사	위생기구류공사	MERGED_FROM_REVIEWED_SOURCES	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cbfa3287cea7c3729ffdb896eef942d3e0b8d7e8ee5b5aff97e196f62c298642	d3056f05-e8b8-482a-89af-52d9588891a6	TASK	206d7fdddef45b9e8a97e6f58bafdc77e5add659193f4b081bef7d0c119bef49	c31d427e-edb6-4d28-a9ae-ff5afd266a20	석회암조적	석회암조적	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
