review_key	source_key	family_key	work_big	work_mid	name_raw	name_normalized	path_raw	semantic_decision	mapping_type	target_canonical_id	target_canonical_name	owner_default	production_candidate	owner_decision	owner_reason
05a8fdc010aceee3bd865f240a55159d506c0258a726d190233d3843728b8d28	bf96d298be62d6a3ffef772da0d50e7ab042412d5d91340436ce85ab2b972cb0	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	건축	철골공사	용접작업	용접작업	건축 > 철골공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
0a997ef7bcec301fd80c3f259ae3a1f72276660b21fad8c054cc50c386c9002c	70ab21b041aa9260a89e4d815ee67a8a7d75805b8968e46b97c50a8436129214	8f6ecd321691ca29c767d1260283d0df3a18f7467bf7342879ba1b42f6971f82	토목	가설공사	양생작업	양생작업	토목 > 가설공사 > 양생작업	POSSIBLE_RELATED	POSSIBLE_RELATED	3258e587-68ab-40c8-80df-dd4fa0db60b7	콘크리트양생	HOLD	YES_HOLD_ONLY		
0c186a1ef608fc593e6036912e457138fadbdb21242f8e9f96b86043f8a5a235	5bf7977ef69aaddeaaced10eb26e7867c07f62ccc06ee28a11ccbe31096d8a45	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	건축	목공사	용접작업	용접작업	건축 > 목공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
14f03b27f2946857710effd6897163a11e420273584ad13ddbdb42772d81ce33	b592525ef552dfdbe9cb7d6fcb98b68b45645a282d0f655148710bfdd8b95173	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	토목	교량공사	용접작업	용접작업	토목 > 교량공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
1ad59710a135efc0947cecfbf73a65289077700f58481f5579c72e5e5fe490c6	148766e3da32b5adb71575b8916c2b83ee7d939dfbdaf084547dbcae96a3f2a2	b45486f292dde403a31c88157aa9a6b6888b5cd1eb5644d44dcab22dbbdc46b2	토목	가설공사	인발작업	인발작업	토목 > 가설공사 > 인발작업	POSSIBLE_RELATED	POSSIBLE_RELATED	06e686fc-0062-46af-b4f2-72027b7a4668	RockBolt축력및인발측정	HOLD	YES_HOLD_ONLY		
22be7b10e45dd7128e61e45011ffab8e201a5e85b22a92d759f504389dc26fcc	63620cc062e187bacaf39f790dcf7dda7c2b25a2e0858ec1dfe05c935d04c717	8f6ecd321691ca29c767d1260283d0df3a18f7467bf7342879ba1b42f6971f82	건축	철근콘크리트공사	양생작업	양생작업	건축 > 철근콘크리트공사 > 양생작업	POSSIBLE_RELATED	POSSIBLE_RELATED	3258e587-68ab-40c8-80df-dd4fa0db60b7	콘크리트양생	HOLD	YES_HOLD_ONLY		
263b5af76c04573c59b325418f2d4fb1d10ca5a38ff0f47200d78587604fd1d7	58c281c81721f7fa0a7e8466317f7a65976028c8a27e52ac6e4d16cb9239cc19	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	산업설비	가설공사	용접작업	용접작업	산업설비 > 가설공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
32b50b35a011eb5612b26ce5bf853fd59b56f926c04f19d65341c067698b03d6	34601bf918dcedef6f8cca533789282c6d0b940cd2d242f554dec7bd51532483	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	전기설비	전기설비공사	용접작업	용접작업	전기설비 > 전기설비공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
40be024ec90da48435be1226f1aff5dda555124cea9c53b77686e8f36e61c41f	3d1c7ac169d6f6b59b308e3de0046e1725ea2ad5fb26037c20d215cb2f68de93	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	토목	댐 및 제방공사	용접작업	용접작업	토목 > 댐 및 제방공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
436df60443f1d38e326a2886bacbe7802a4aad366031a34ba893665656b215c2	cddf320b85693419f1d9a8c27afe3f1b2ca2800937582fb90352a606d102695d	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	건축	방수공사	용접작업	용접작업	건축 > 방수공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
