batch_no	seed_proposal_key	source_id	source_key	source_node_type	name	source_path	root_name	root_source_key	depth	current_semantic_kind	current_review_decision	root_semantic_kind	root_review_decision	root_review_batch_no	direct_child_count	direct_child_keys	direct_child_names	children_truncated	reviewed_child_count	reviewed_child_process	reviewed_child_task	reviewed_child_method	reviewed_child_material_component	reviewed_child_facility_equipment	reviewed_child_classification	reviewed_child_ambiguous	unreviewed_child_count	reviewed_child_keep	reviewed_child_merge_candidate	reviewed_child_hold	reviewed_child_reject	reviewed_child_refs	unreviewed_child_refs	reviewed_child_mechanical_state	gpt_leaf_family_policy	same_name_mid_count	same_name_mid_paths	same_name_other_source_count	same_name_other_source_refs	sibling_mid_count	sample_sibling_mids	reviewed_sibling_count	reviewed_sibling_refs	lexical_cues	gpt_semantic_kind	gpt_review_decision	merge_candidate_keys	gpt_reason
431	212300bb3c4d6e22d263c5a97e759e118ddc718df43abc08dc4fe4148e35bce7	CIC_W	122	W_MID	구조체계측	계측 > 구조체계측	계측	12	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	209	4	1221 | 1222 | 1223 | 1227	구조체정적계측 | 동적계측 | 하중측정 | 누수량측정	NO	0	0	0	0	0	0	0	0	4	0	0	0	0		1221:구조체정적계측 | 1222:동적계측 | 1223:하중측정 | 1227:누수량측정	NO_REVIEWED_CHILDREN	PENDING	1	계측 > 구조체계측	0		8	토공사계측 | 터널공사계측 | 교량공사계측 | 댐 제방계측 | 단열 방음및방수공사계측 | 전기설비계측 | 기계설비계측 | 기타공사계측	3	121:토공사계측:PROCESS:KEEP_AS_DISTINCT | 123:터널공사계측:PROCESS:KEEP_AS_DISTINCT | 125:댐 제방계측:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
432	681b34793e2a0b27aa85597a3047582655a3eeed5b8970f404ec2b88d687c1fa	CIC_W	124	W_MID	교량공사계측	계측 > 교량공사계측	계측	12	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	209	2	1241 | 1242	교량정적계측 | 동적계측	NO	0	0	0	0	0	0	0	0	2	0	0	0	0		1241:교량정적계측 | 1242:동적계측	NO_REVIEWED_CHILDREN	PENDING	1	계측 > 교량공사계측	0		8	토공사계측 | 구조체계측 | 터널공사계측 | 댐 제방계측 | 단열 방음및방수공사계측 | 전기설비계측 | 기계설비계측 | 기타공사계측	3	121:토공사계측:PROCESS:KEEP_AS_DISTINCT | 123:터널공사계측:PROCESS:KEEP_AS_DISTINCT | 125:댐 제방계측:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
433	45655295b94db500ea2dc03a2d1723bdcef5dd02efa4fd59ad43d502f329caf0	CIC_W	126	W_MID	단열 방음및방수공사계측	계측 > 단열 방음및방수공사계측	계측	12	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	209	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	계측 > 단열 방음및방수공사계측	0		8	토공사계측 | 구조체계측 | 터널공사계측 | 교량공사계측 | 댐 제방계측 | 전기설비계측 | 기계설비계측 | 기타공사계측	3	121:토공사계측:PROCESS:KEEP_AS_DISTINCT | 123:터널공사계측:PROCESS:KEEP_AS_DISTINCT | 125:댐 제방계측:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
434	2bfc5770587ec30ee5b62dda465f22ff4e77a4fa24a95450649a8e828cf604cd	CIC_W	127	W_MID	전기설비계측	계측 > 전기설비계측	계측	12	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	209	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	계측 > 전기설비계측	0		8	토공사계측 | 구조체계측 | 터널공사계측 | 교량공사계측 | 댐 제방계측 | 단열 방음및방수공사계측 | 기계설비계측 | 기타공사계측	3	121:토공사계측:PROCESS:KEEP_AS_DISTINCT | 123:터널공사계측:PROCESS:KEEP_AS_DISTINCT | 125:댐 제방계측:PROCESS:KEEP_AS_DISTINCT	CONTAINS_설비	PENDING	PENDING	EMPTY	EMPTY
435	2b26f8a695f47923e4f01dabe4796f693aaa51483afe05c276a1e99fe2441405	CIC_W	128	W_MID	기계설비계측	계측 > 기계설비계측	계측	12	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	209	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	계측 > 기계설비계측	0		8	토공사계측 | 구조체계측 | 터널공사계측 | 교량공사계측 | 댐 제방계측 | 단열 방음및방수공사계측 | 전기설비계측 | 기타공사계측	3	121:토공사계측:PROCESS:KEEP_AS_DISTINCT | 123:터널공사계측:PROCESS:KEEP_AS_DISTINCT | 125:댐 제방계측:PROCESS:KEEP_AS_DISTINCT	CONTAINS_설비	PENDING	PENDING	EMPTY	EMPTY
436	d921aa98da4efcc819c2e5ae75bbb41e85cc38233c176fd8ad70e9473e1dff3d	CIC_W	129	W_MID	기타공사계측	계측 > 기타공사계측	계측	12	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	209	0			NO	0	0	0	0	0	0	0	0	0	0	0	0	0			NO_REVIEWED_CHILDREN	PENDING	1	계측 > 기타공사계측	0		8	토공사계측 | 구조체계측 | 터널공사계측 | 교량공사계측 | 댐 제방계측 | 단열 방음및방수공사계측 | 전기설비계측 | 기계설비계측	3	121:토공사계측:PROCESS:KEEP_AS_DISTINCT | 123:터널공사계측:PROCESS:KEEP_AS_DISTINCT | 125:댐 제방계측:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
437	f8f5001ecaf8b04d5927dbd642eb58627cf6c4d81073ae69d35466c042cc7bbb	CIC_W	131	W_MID	시험굴착	지반조사 > 시험굴착	지반조사	13	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	210	1	1311	암이외의지질시험굴착	NO	1	0	1	0	0	0	0	0	0	1	0	0	0	1311:암이외의지질시험굴착:TASK:KEEP_AS_DISTINCT		ALL_REVIEWED_SINGLE_KIND	PENDING	1	지반조사 > 시험굴착	0		5	시추(보링) | 샘플링 | 현장시험 | 실내실험 | 암석 암반시험	1	135:실내실험:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
438	3a415d4f8a7b016b2d1368c55360d2d240f36b0d628223c8f8ce44770580ad71	CIC_W	132	W_MID	시추(보링)	지반조사 > 시추(보링)	지반조사	13	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	210	2	1321 | 1322	충격식(Percussion)시추 | 회전식(Rotary)시추	NO	0	0	0	0	0	0	0	0	2	0	0	0	0		1321:충격식(Percussion)시추 | 1322:회전식(Rotary)시추	NO_REVIEWED_CHILDREN	PENDING	1	지반조사 > 시추(보링)	0		5	시험굴착 | 샘플링 | 현장시험 | 실내실험 | 암석 암반시험	1	135:실내실험:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
439	66944a27a746d9c49274c390c714e1ae3de44f229b9347ad452659a099b200e5	CIC_W	133	W_MID	샘플링	지반조사 > 샘플링	지반조사	13	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	210	1	1331	지표면 시험굴착시료	NO	0	0	0	0	0	0	0	0	1	0	0	0	0		1331:지표면 시험굴착시료	NO_REVIEWED_CHILDREN	PENDING	1	지반조사 > 샘플링	0		5	시험굴착 | 시추(보링) | 현장시험 | 실내실험 | 암석 암반시험	1	135:실내실험:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
440	9cfcdfc88b2b28e969e11900feae9d6c81321546243826469ab37b93bf69d0a7	CIC_W	134	W_MID	현장시험	지반조사 > 현장시험	지반조사	13	2	AMBIGUOUS	UNREVIEWED	PROCESS	KEEP_AS_DISTINCT	210	4	1341 | 1342 | 1343 | 1344	일반현장시험 | 압밀시험 | 다짐시험 | 사운딩시험	NO	0	0	0	0	0	0	0	0	4	0	0	0	0		1341:일반현장시험 | 1342:압밀시험 | 1343:다짐시험 | 1344:사운딩시험	NO_REVIEWED_CHILDREN	PENDING	1	지반조사 > 현장시험	0		5	시험굴착 | 시추(보링) | 샘플링 | 실내실험 | 암석 암반시험	1	135:실내실험:PROCESS:KEEP_AS_DISTINCT	NONE	PENDING	PENDING	EMPTY	EMPTY
