mapping_plan_key	source_id	source_key	source_name	review_concept_key	canonical_id	canonical_name	canonical_kind	canonical_origin_type	mapping_type	mapping_status	mapping_method	evidence_basis	source_context_policy	owner_approval_id	owner_package_sha	canonical_receipt_sha	source_ingest_receipt_sha
ebb21807bb2397349caeaf04ebece3a6c6c43af49561902c171b57569107c804	CIC_W	0112	공사계획	c96ac36c304825c29ee231af7f514ce0ac096e0522815892526a63eb98631e39	882a596c-78dd-4079-ab2c-bad634e529c4	공사계획	PROCESS	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
5da1694f4cfddcf5c0ca77e2855a4c30c536e68efb2f69d2a4033cdeb117e2c9	CIC_W	0113	서류및샘플제출	18df971e963e4445f7d9de6e11e0f689795b23e52411ebe3f4e06552ab12c251	1e1cb456-1c37-493b-a260-5dd23744f258	서류및샘플제출	TASK	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
59100c1100088f0ea28b974cb49c43eee2c3c4da6401639fc66de943408b519e	CIC_W	0114	검측 기성	7a439acd29dd65f69446cf3e5799efa47c52dc521704096d4356e2e021028380	f7a46c9c-1334-4f1e-9d80-def9c46953d2	검측 기성	TASK	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
82a93c3a0067762ab8f0d6b54f8735692d662c31e52543f29e9554079c04ddde	CIC_W	0115	품질관리	2a16ffd74a0b9293c8cb8525c8541550a2648d39748806d09ded8308b50594c7	3f490984-a4e0-4de2-b6d6-4165bda8410c	품질관리	PROCESS	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
6d2199710e5ce4edb6964952d7072100a3d752b01edb90623a929cb08f3f6b74	CIC_W	0116	공사회의	1828313c4385bdc9e07ad785dfebebadb97bd1cfabeadeaca85452d84fdbbf0c	93282807-6170-487e-9344-43d765055467	공사회의	TASK	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
ae7e8032e3eabce2a7dfc865e6966db97974e81bb43443d0c70f23772335db68	CIC_W	0117	공사관리	086cb7669fde42d8cb3ead1004aab5073c384f43c946be95d4066abffb8e0ff9	1ac44e66-459b-4afc-8cc4-e5d9ce385ebe	공사관리	PROCESS	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
333bd382a87c61ec09334447be96f23dbc86ca907ae05a0f1a5c49c5719bae5b	CIC_W	0118	시운전	708f590c9f35d785d6315ee7e29238697d00dd707c7dcda6060e2e370223b385	1546c452-2758-4c09-9aa6-411fd0cdecdd	시운전	TASK	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
cc4ac5b31159b2a4cfe6cdd82fe2afc180d5c35cf23c5c2695f49619f02f9825	CIC_W	0119	준공및하자보수	e53153c5f2d624a42c97eec1ac937ceb3194bc799905a8e083045a94cb260c15	faaffef1-67ca-4562-b0fc-9f1899b30b35	준공및하자보수	PROCESS	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_IN_SOURCE_MAPPING_EVIDENCE	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
1e46161fa3eef93ff713b8fcf46979f6d410cfa72a98ff04b4fe0cef689cd57a	CIC_W	03	본공사성가설공사	97167eb2b29f689eecdc8442c8e8d8af709defa6879ba0d3ff2ed79518836e55	a15bbe15-e1ac-4833-b22f-773af7b714c8	본공사성가설공사	PROCESS	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_SOURCE_MEMBERSHIP	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
c06e03ccc3d3c26829742fbbe1808f182fc5f39686637bb1120cdbcf2f8e070f	CIC_W	033	가설흙막이및지보공사	2632f26ff3acc6ef60862e7365121d9799fee88bf74d042cd17a97bec9d79d25	f3a65654-18e3-42e7-bcc6-a534b4569d6f	가설흙막이및지보공사	PROCESS	PROMOTED_FROM_SOURCE	EXACT_EQUIVALENT	PROPOSED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	PRESERVE_SOURCE_MEMBERSHIP	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	c8c4232bf924b52636c9dc33fb1891473d548e09ed15de35f33764fe18603f3c	9493ff9f5515eec26daf0204589d1fa3dbb8128f2b58f3590f49244ebb4ecef4
