source_key	seed_proposal_key	name	hierarchy_level	source_path	effective_semantic_kind	exclusion_lane	exclusion_basis	owner_approval_state
0714	37a04b721c7f363fecb1d97db60f7424f6d5654d6d8285af090a90eb0c438cbb	철강구조물공사	W_LEAF	품질시험 > 공통품질시험 > 철강구조물공사	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0721	868eb492f652bad56dd2783098cd261eb47e310111a01b4d486acb860ce274e6	도로	W_LEAF	품질시험 > 토목품질시험 > 도로	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0722	9c996229eb2cbd5fe3ef8581e160db45cbb843a0872d9a6ff30922513a3efbbd	철도	W_LEAF	품질시험 > 토목품질시험 > 철도	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0723	aa515a7df17f23a84eac346215c5e4e0373efebc143d66ccf43d6e0ba7e00ceb	교량	W_LEAF	품질시험 > 토목품질시험 > 교량	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0724	1d8a0dd35ed41f27789717fa2d2e090798040c6af9a0b55c4f8ed409e7b28738	터널	W_LEAF	품질시험 > 토목품질시험 > 터널	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0725	e544fbf56fc5cb78067142727c5d8c160c06b049d8c285c7807dcc3c4e4927b1	수공구조물공사	W_LEAF	품질시험 > 토목품질시험 > 수공구조물공사	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0726	dfc7f505fe4447aec4c4fc57694f409019409446217c37c83747e5892feb0467	배관및배수	W_LEAF	품질시험 > 토목품질시험 > 배관및배수	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0731	fd0eb7c13728615a9ea812b87c7d95d98c5d63a3122b5aa7abf45d0991c0f583	조적및목구조공사	W_LEAF	품질시험 > 건축품질시험 > 조적및목구조공사	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0732	acd2dd88d3a7f79d4f9b9a27263c081536c90cb1bd55ae04d124d71257a18416	방수 단열 지붕공사	W_LEAF	품질시험 > 건축품질시험 > 방수 단열 지붕공사	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0733	99db583324eee570c28ea6cbd93bd6edf4dc3039cd5366c8e99cd2e67b507a49	마감공사	W_LEAF	품질시험 > 건축품질시험 > 마감공사	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0851	8a4d575f9459bd01a20dfd7fb7016d5c249a2136a404993325d4b94e36e7fa64	토공	W_LEAF	건축품질시험 > 건축관리시험(토공 기초 구조체) > 토공	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0852	3769048f47b3f0c13e0e0928ba93e2aba1ed6286f095f12d0d129d5683cad0de	말뚝기초	W_LEAF	건축품질시험 > 건축관리시험(토공 기초 구조체) > 말뚝기초	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0853	d065a47a3908d0eebd6d7ceb321d3074fdcfee6e6710f6a90d90218877502b07	시멘트및혼화제	W_LEAF	건축품질시험 > 건축관리시험(토공 기초 구조체) > 시멘트및혼화제	MATERIAL_COMPONENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0854	278c05df2ac0decdf6f009682cf907f60f26a38f00023eccd80d191b271009b5	콘크리트및골재	W_LEAF	건축품질시험 > 건축관리시험(토공 기초 구조체) > 콘크리트및골재	MATERIAL_COMPONENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0855	fcb3383f6074215c8d17cc9e4a52d63f3ee1bf464cce685d8f35bcef1e458165	콘크리트보강재	W_LEAF	건축품질시험 > 건축관리시험(토공 기초 구조체) > 콘크리트보강재	MATERIAL_COMPONENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0856	5e967a9bb771a0e440b88ff43dac5fc0bf21040c8359151dd7c9458c6f04e239	철골구조	W_LEAF	건축품질시험 > 건축관리시험(토공 기초 구조체) > 철골구조	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0857	5742ad6cb205bb69c89ff703ba005c5429164d9413f21a42054bea9f11143cff	조적구조	W_LEAF	건축품질시험 > 건축관리시험(토공 기초 구조체) > 조적구조	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0858	d091f6295ec2475cc94993bee05c6f0f721b9074b53b22cc03370f934bb1d5cb	목구조	W_LEAF	건축품질시험 > 건축관리시험(토공 기초 구조체) > 목구조	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0861	2ae8e864320d75d56d64f6c86d2a1d9de38415bb1b672c7d6bc4aa26b5b33aaf	방수및방습	W_LEAF	건축품질시험 > 건축관리시험(단열 방수 지붕) > 방수및방습	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0863	33fe1a5500ee99da4168f0913b81db47fb3884bac8268a867547259286b97434	단열및방화	W_LEAF	건축품질시험 > 건축관리시험(단열 방수 지붕) > 단열및방화	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0865	d56c254319d6892082e2382707fb1b87877be14aca1eeb6593bf5752fa513d90	진동및방음	W_LEAF	건축품질시험 > 건축관리시험(단열 방수 지붕) > 진동및방음	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0867	ad18c73748366b357ead99233c6b9b4a20a708450d1be9dcf91920195b34531e	지붕및기와	W_LEAF	건축품질시험 > 건축관리시험(단열 방수 지붕) > 지붕및기와	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0871	51651ac306c3e8f4250a4859298036d4bccc4246fb36a38e70be7c06a13ec3e3	미장	W_LEAF	건축품질시험 > 건축관리시험(마감) > 미장	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0872	9f6eb45c3b5c59ebe78cb84649b56db72c4f8ca1a1c67de63b64911aa2d81e27	타일	W_LEAF	건축품질시험 > 건축관리시험(마감) > 타일	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
0873	85d950e4cacf7399169cf312cdc3f065801a10f4fc1c5eb9ade836597787803a	수장	W_LEAF	건축품질시험 > 건축관리시험(마감) > 수장	CLASSIFICATION	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
