family_id	excluded_parent_source_key	excluded_parent_name	excluded_parent_semantic_kind	excluded_parent_exclusion_reason	child_count	child_review_concept_keys	child_source_keys	child_names	root_key	root_name	root_candidate_status	nearest_candidate_ancestor_count	nearest_candidate_ancestor_keys	nearest_candidate_ancestor_names	nearest_candidate_ancestor_distance	evidence_classification	mechanical_parent_candidate	mechanical_parent_candidate_name	mechanical_rule_status	gpt_decision	gpt_parent_candidate	owner_approval_state
F-011	011	공사일반사항	CLASSIFICATION	REFERENCE_ONLY:ORIGINAL_REJECT	8	c96ac36c304825c29ee231af7f514ce0ac096e0522815892526a63eb98631e39 | 18df971e963e4445f7d9de6e11e0f689795b23e52411ebe3f4e06552ab12c251 | 7a439acd29dd65f69446cf3e5799efa47c52dc521704096d4356e2e021028380 | 2a16ffd74a0b9293c8cb8525c8541550a2648d39748806d09ded8308b50594c7 | 1828313c4385bdc9e07ad785dfebebadb97bd1cfabeadeaca85452d84fdbbf0c | 086cb7669fde42d8cb3ead1004aab5073c384f43c946be95d4066abffb8e0ff9 | 708f590c9f35d785d6315ee7e29238697d00dd707c7dcda6060e2e370223b385 | e53153c5f2d624a42c97eec1ac937ceb3194bc799905a8e083045a94cb260c15	0112 | 0113 | 0114 | 0115 | 0116 | 0117 | 0118 | 0119	공사계획 | 서류및샘플제출 | 검측 기성 | 품질관리 | 공사회의 | 공사관리 | 시운전 | 준공및하자보수	01	공사일반사항및공사비	EXCLUDED	0	EMPTY	EMPTY	EMPTY	EXCLUDED_PARENT_AND_ROOT	EMPTY	EMPTY	GPT_REQUIRED	PENDING	EMPTY	NOT_APPROVED
F-06	06	공통장비	FACILITY_EQUIPMENT	REFERENCE_ONLY:ORIGINAL_REJECT	1	ba7464ebdf6a54c4e9f41527a34eb43bc81acd1179e83a68a1c0c6244ad03980	061	장비운반	06	공통장비	EXCLUDED	0	EMPTY	EMPTY	EMPTY	EXCLUDED_PARENT_AND_ROOT	EMPTY	EMPTY	GPT_REQUIRED	PENDING	EMPTY	NOT_APPROVED
F-251	251	콘크리트자재	CLASSIFICATION	REFERENCE_ONLY:ORIGINAL_REJECT	1	f0f16c06ab4cb90d25d4fe89308cc6c166adb5d47278506dbaf906f92a58573e	2512	골재채취 생산	25	철근콘크리트공사	CANDIDATE	1	13f01c1ad0d027cd2397d07a0e9eafb5222e1bbae9c0855e76a6ca66d279e062	철근콘크리트공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	13f01c1ad0d027cd2397d07a0e9eafb5222e1bbae9c0855e76a6ca66d279e062	철근콘크리트공사	SINGLE_ANCESTOR_DERIVED	PENDING	EMPTY	NOT_APPROVED
F-315	315	토목배관부속설비	FACILITY_EQUIPMENT	REFERENCE_ONLY:ORIGINAL_REJECT	1	512d3906fcf9a0079a12b908c439663d6703b7d06a660b8da1218d18275559b2	3157	여과설비설치	31	토목배관공사및배수공사	CANDIDATE	1	b15cd2beb1d4901b6d710f491abe2a583003fdfe5fe6d98842ce0257c9159552	토목배관공사및배수공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	b15cd2beb1d4901b6d710f491abe2a583003fdfe5fe6d98842ce0257c9159552	토목배관공사및배수공사	SINGLE_ANCESTOR_DERIVED	PENDING	EMPTY	NOT_APPROVED
F-371	371	휠댐(제방)	CLASSIFICATION	REFERENCE_ONLY:ORIGINAL_REJECT	6	96df527ccb239d96a2f604ac5848d689d174bacf9f0b5716d1c76dad7cc4375a | 5ec54c9e3d66b25af9d10f82992e53383ce691ada40eb88359f08b8700262026 | ef467a3e5fbf9bfabb1bb2275399ad3d5ed56372428997b0f7d746266158e69b | e4bb13e2e59d60b4434332a68193eba5e027152d0c13595c4ca2514f748f50e5 | a20f051dae1cbf038a0939447b9d4f7508662cd0fbfe028db1c9208aca35e4f7 | fd98cd55706d3e5c006fe7f8b6e705649fdee425f66e36383a54d39a8fce5fcf	3716 | 3711 | 3712 | 3713 | 3714 | 3715	Riprap재료축조 | 불투수성재료축조 | 휠터재료축조 | 사력재료축조 | 암석재료축조 | 랜덤재료축조	37	댐공사	CANDIDATE	1	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	SINGLE_ANCESTOR_DERIVED	PENDING	EMPTY	NOT_APPROVED
F-382	382	조적식옹벽	FACILITY_EQUIPMENT	REFERENCE_ONLY:ORIGINAL_REJECT	1	a630c5d19464d9db0acd3e5b3cab8465fe8990f4d36be03653fc000e17206066	3827	석축쌓기	38	옹벽공사	CANDIDATE	1	bc68572923c8910b9b34b63d85b18ecc876df84b7e42beb1fe2750242dca64f0	옹벽공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	bc68572923c8910b9b34b63d85b18ecc876df84b7e42beb1fe2750242dca64f0	옹벽공사	SINGLE_ANCESTOR_DERIVED	PENDING	EMPTY	NOT_APPROVED
F-415	415	유리블록	MATERIAL_COMPONENT	REFERENCE_ONLY:ORIGINAL_REJECT	2	6aeb0c0085624f5039e903e5cbfb5b103d4201624bf3e1428eb003241778d893 | a27352b5d662e6d1048eeecae66e47f5a993d2674b6fb0789eec4c268f846268	4151 | 4152	유리블록쌓기 | 유리블록판넬설치	41	조적공사	CANDIDATE	1	33f1ddfc015d1a5a3173d5aa56062b9af98458c2e93edc02b239d897ef4ba8d7	조적공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	33f1ddfc015d1a5a3173d5aa56062b9af98458c2e93edc02b239d897ef4ba8d7	조적공사	SINGLE_ANCESTOR_DERIVED	PENDING	EMPTY	NOT_APPROVED
F-513	513	플라스터	MATERIAL_COMPONENT	REFERENCE_ONLY:ORIGINAL_REJECT	2	547f6c3944eefedd97dfa5c18e9128c819c354b470395ca0ff4d247283db372d | f043ecd7b1058a7909717535be66af98f91a496c01eff626b3aa3bac07ff7e89	5131 | 5132	회반죽미장 | 회사미장	51	미장공사	CANDIDATE	1	f8f8f8c0ded720ede952c131be6396329a82ad7f1995efa930cff437b5ed9ffa	미장공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	f8f8f8c0ded720ede952c131be6396329a82ad7f1995efa930cff437b5ed9ffa	미장공사	SINGLE_ANCESTOR_DERIVED	PENDING	EMPTY	NOT_APPROVED
F-86	EMPTY	EMPTY	EMPTY	EMPTY	1	5bc3acd70ef94be1828618eb4eee664445fda4b87144a9b0b917ff2c6a19b740	86 | 8631 | 863	기타전기설비공사 | 기타전기설비공사 | 기타전기설비공사	86	기타전기설비공사	CANDIDATE	0	EMPTY	EMPTY	EMPTY	NO_CANDIDATE_ANCESTOR	EMPTY	EMPTY	GPT_REQUIRED	PENDING	EMPTY	NOT_APPROVED
