batch_no	seed_proposal_key	kind	name	source_id	source_key	source_path	parent_path	grandparent_path	depth	is_leaf	child_count	sample_children	support_count	risk_content_support	source_occurrence_support	same_name_count	same_name_compatible_kind_count	same_name_incompatible_kind_count	same_name_paths	risk_sample_1	risk_sample_2	risk_sample_3	mechanical_flags	generator_review_status	generator_ambiguity_status	owner_decision	merge_candidate_keys	owner_reason
32	def8985dca3ae5932985f16b27df7200ba62187101b8930e261a48ff92f9ed5d	TASK	기타	KALIS_RISK_PROFILE	570bb48ee02905fad273d9db94ec34b3b8f1f07bcba01989dfc8fd3dc7213928	토목 > 토공사 > 기타	토목 > 토공사	토목	3	YES	0		1	176	226	33	33	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 기타 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 기타 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 기타 | KALIS_RISK_PROFILE:건축 > 금속공사 > 기타 | KALIS_RISK_PROFILE:건축 > 도장공사 > 기타 | KALIS_RISK_PROFILE:건축 > 미장공사 > 기타 | KALIS_RISK_PROFILE:건축 > 방수공사 > 기타 | KALIS_RISK_PROFILE:건축 > 조적공사 > 기타 | KALIS_RISK_PROFILE:건축 > 지정공사 > 기타 | KALIS_RISK_PROFILE:건축 > 창호 및 유리공사 > 기타	객체=기타/기타; 위치=외부/기타/바닥; 원인=포장작업도 미준수; 인적=기타; 물적=없음; 가능=M(2); 심각=M(3)	객체=기타/기타; 위치=외부/기타/바닥; 원인=포장작업도 미준수; 인적=기타; 물적=없음; 가능=M(2); 심각=M(3)	객체=기타/기타; 위치=외부/기타/바닥; 원인=포장작업도 미준수; 인적=기타; 물적=없음; 가능=M(2); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
33	5a1b70fb6b0e4fde65852a5955bcce8a0b673902f089b13b9a5a3f62948d52b2	TASK	양중작업	KALIS_RISK_PROFILE	f27ac2c6cbdb80a392c6a6ce98a3fe806e408d040a448d8b4cbdcf393ff8a3c5	토목 > 관공사 > 양중작업	토목 > 관공사	토목	3	YES	0		1	174	264	28	28	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 지붕 및 홈통공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 지정공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 창호 및 유리공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 해체 및 철거공사 > 양중작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 양중작업	객체=건설자재/와이어로프; 위치=외부/와이어로프/하부(아래); 원인=양중계획 미흡; 인적=부딪힘; 물적=파열,파단; 가능=M(3); 심각=M(3)	객체=건설자재/와이어로프; 위치=인접주변/와이어로프/상부(위); 원인=인양줄 파단; 인적=깔림; 물적=파열,파단; 가능=M(2); 심각=M(3)	객체=건설자재/와이어로프; 위치=인접주변/와이어로프/상부(위); 원인=인양줄 파단; 인적=깔림; 물적=파열,파단; 가능=M(2); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
34	2b5d91b1c032cb63bdaa5c54305df05fab55127c39817b1035671de07f89f9d2	TASK	설치작업	KALIS_RISK_PROFILE	c14e6c9d2a5be18d3f6e8c89c3b54ac383eab02b0bb41f992aef20286e32fc19	건축 > 금속공사 > 설치작업	건축 > 금속공사	건축	3	YES	0		1	155	274	45	45	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 금속공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 도장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 목공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 방수공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 조경공사 > 설치작업	객체=건설공구/사다리; 위치=내부/사다리/상부(위); 원인=안전대 미사용; 인적=떨어짐(3미터 이상 ~ 5미터 미만); 물적=없음; 가능=M(3); 심각=M(3)	객체=기타/기타; 위치=외벽/기타/옆; 원인=무너짐_앙카철물 설치도면 미작성; 인적=떨어짐(분류불능); 물적=붕괴; 가능=M(2); 심각=H(3)	객체=부재/개구부; 위치=내부/개구부/상부(위); 원인=엘리베이트 피트 개구부 덮개 미조치; 인적=떨어짐(10미터 이상); 물적=파열,파단; 가능=M(2); 심각=H(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
35	8b36a9fc0274f3a34d40ab0c7131dc1a49798e0488acd32d995e70ea8e3225b5	TASK	해체작업	KALIS_RISK_PROFILE	f6bb286c4afb8061f335be74972eaad91f74e6629cc1af17528306b2d4209150	토목 > 가설공사 > 해체작업	토목 > 가설공사	토목	3	YES	0		1	155	200	26	26	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 해체작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 해체작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 해체작업 | KALIS_RISK_PROFILE:건축 > 조경공사 > 해체작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 해체작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 해체작업 | KALIS_RISK_PROFILE:건축 > 해체 및 철거공사 > 해체작업 | KALIS_RISK_PROFILE:기타 > 기타 > 해체작업 | KALIS_RISK_PROFILE:산업설비 > 가설공사 > 해체작업 | KALIS_RISK_PROFILE:산업설비 > 산업설비공사 > 해체작업	객체=가시설/흙막이가시설; 위치=외부/흙막이가시설/상부(위); 원인=가시설 해체 계획 미수립; 인적=깔림; 물적=붕괴; 가능=M(3); 심각=M(3)	객체=가시설/흙막이가시설; 위치=내부/흙막이가시설/뒤; 원인=구조검토 미흡; 인적=깔림; 물적=붕괴; 가능=M(3); 심각=M(3)	객체=가시설/흙막이가시설; 위치=내부/흙막이가시설/옆; 원인=해체단계 계산 누락; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=H(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
36	6e9a18a721aa6d25339fe629a0e0322c9355c67eb7331359624c6f9db5dbd9b5	TASK	설치작업	KALIS_RISK_PROFILE	8cc83a51cb7c276d36a79782654f52851dd98d07a67df55c73951742f266f65b	건축 > 수장공사 > 설치작업	건축 > 수장공사	건축	3	YES	0		1	154	344	45	45	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 금속공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 도장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 목공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 방수공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 조경공사 > 설치작업	객체=건설자재/천정패널; 위치=내부/천정패널/상부(위); 원인=달대볼트 누락; 인적=물체에 맞음; 물적=낙하; 가능=H(4); 심각=M(3)	객체=건설자재/천정패널; 위치=내부/천정패널/상부(위); 원인=지지, 고정장치 미흡; 인적=물체에 맞음; 물적=낙하; 가능=M(2); 심각=H(4)	객체=건설자재/천정패널; 위치=내부/천정패널/고소; 원인=무너짐_천장틀 설치도면 미작성; 인적=물체에 맞음; 물적=붕괴; 가능=H(3); 심각=H(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
37	681cd5a835804d6c3dd3f97167776fd9786a1dbf99d19a254c488b94d57d60dc	TASK	해체작업	KALIS_RISK_PROFILE	1a16e456c9ef15217239f110a85699355c7745eafcbe426c72a959906d502ea2	건축 > 해체 및 철거공사 > 해체작업	건축 > 해체 및 철거공사	건축	3	YES	0		1	153	175	26	26	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 해체작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 해체작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 해체작업 | KALIS_RISK_PROFILE:건축 > 조경공사 > 해체작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 해체작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 해체작업 | KALIS_RISK_PROFILE:건축 > 해체 및 철거공사 > 해체작업 | KALIS_RISK_PROFILE:기타 > 기타 > 해체작업 | KALIS_RISK_PROFILE:산업설비 > 가설공사 > 해체작업 | KALIS_RISK_PROFILE:산업설비 > 산업설비공사 > 해체작업	객체=시설물/건물; 위치=외부/건물/상부(위); 원인=작업계획 미수립; 인적=물체에 맞음; 물적=전도; 가능=M(3); 심각=M(3)	객체=부재/벽체; 위치=내부/벽체/고소; 원인=작업계획 미수립; 인적=물체에 맞음; 물적=전도; 가능=M(3); 심각=M(3)	객체=시설물/건물; 위치=외부/건물/상부(위); 원인=작업계획 미수립; 인적=물체에 맞음; 물적=전도; 가능=M(3); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
38	6bca09bf3093594e09833f1f647392c38d5d1060eb49ed17ee62507753df2297	TASK	형틀 및 목공	KALIS_RISK_PROFILE	bbb054942c4d4f9ec5f331b9fd965a1762e412fe9f1a564cd6833312749d8085	건축 > 가설공사 > 형틀 및 목공	건축 > 가설공사	건축	3	YES	0		1	150	264	8	8	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 형틀 및 목공 | KALIS_RISK_PROFILE:건축 > 금속공사 > 형틀 및 목공 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 형틀 및 목공 | KALIS_RISK_PROFILE:토목 > 가설공사 > 형틀 및 목공 | KALIS_RISK_PROFILE:토목 > 교량공사 > 형틀 및 목공 | KALIS_RISK_PROFILE:토목 > 말뚝공사 > 형틀 및 목공 | KALIS_RISK_PROFILE:토목 > 철근콘크리트공사 > 형틀 및 목공 | KALIS_RISK_PROFILE:토목 > 하천공사 > 형틀 및 목공	객체=가시설/비계; 위치=외부/비계/고소; 원인=낙하물방지망 미설치; 인적=물체에 맞음; 물적=없음; 가능=M(2); 심각=H(4)	객체=가시설/비계; 위치=외부/비계/하부(아래); 원인=부등침하 발생; 인적=떨어짐(2미터 이상 ~ 3미터 미만); 물적=붕괴; 가능=M(2); 심각=H(4)	객체=가시설/비계; 위치=외부/비계/고소; 원인=가설계단 미설치; 인적=떨어짐(분류불능); 물적=없음; 가능=M(2); 심각=H(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
39	3e038ff11f4fe93a11ae6c81de369dff8f2ddd075a57a85a9937f175a8a8592e	TASK	설치작업	KALIS_RISK_PROFILE	700634c713c095be3ffcab140bb44f68542e194e780381feb1d7e0fb8f47914d	기타 > 기타 > 설치작업	기타 > 기타	기타	3	YES	0		1	149	381	45	45	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 금속공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 도장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 목공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 방수공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 조경공사 > 설치작업	객체=가시설/안전시설물; 위치=내부/안전시설물/상부(위); 원인=안전난간 미설치; 인적=떨어짐(분류불능); 물적=없음; 가능=M(2); 심각=M(3)	객체=기타/기타; 위치=내부/기타/바닥; 원인=가설전기 취급 미흡; 인적=기타; 물적=화재; 가능=M(2); 심각=M(5)	객체=가시설/안전시설물; 위치=내부/안전시설물/상부(위); 원인=안전난간 미설치; 인적=떨어짐(분류불능); 물적=없음; 가능=M(2); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
40	bd9d48aac0e971c853a01ca521c6b1920a854990c9ad62578d484a49f7249f42	TASK	마감작업	KALIS_RISK_PROFILE	1b5aab17f3e9dc674c0911638385e8164dd6da740a939e7522154c58f0be98d8	건축 > 방수공사 > 마감작업	건축 > 방수공사	건축	3	YES	0		1	142	185	36	36	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 마감작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 마감작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 마감작업 | KALIS_RISK_PROFILE:건축 > 금속공사 > 마감작업 | KALIS_RISK_PROFILE:건축 > 도장공사 > 마감작업 | KALIS_RISK_PROFILE:건축 > 목공사 > 마감작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 마감작업 | KALIS_RISK_PROFILE:건축 > 방수공사 > 마감작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 마감작업 | KALIS_RISK_PROFILE:건축 > 조적공사 > 마감작업	객체=건설자재/자재; 위치=내부/자재/지하; 원인=환기시설 불량; 인적=질식; 물적=없음; 가능=M(2); 심각=H(4)	객체=부재/슬래브; 위치=지붕/슬래브/바닥; 원인=안전시설물 미설치; 인적=떨어짐(2미터 이상 ~ 3미터 미만); 물적=없음; 가능=M(2); 심각=H(4)	객체=부재/슬래브; 위치=지붕/슬래브/바닥; 원인=안전시설물 미설치; 인적=떨어짐(2미터 이상 ~ 3미터 미만); 물적=없음; 가능=M(2); 심각=H(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
41	66d640f08a9016c78123c0f49ed255f38b74fade40aab751aade2ee5f73dbca8	TASK	연결작업	KALIS_RISK_PROFILE	a3f2bbc348f31b2d65d3e5cfa71264c6078ff8599ba2242078dfc220553ec3ab	토목 > 관공사 > 연결작업	토목 > 관공사	토목	3	YES	0		1	124	189	22	22	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 연결작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 연결작업 | KALIS_RISK_PROFILE:건축 > 목공사 > 연결작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 연결작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 연결작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 연결작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 연결작업 | KALIS_RISK_PROFILE:기타 > 기타 > 연결작업 | KALIS_RISK_PROFILE:산업설비 > 산업설비공사 > 연결작업 | KALIS_RISK_PROFILE:전기설비 > 가설공사 > 연결작업	객체=기타/유증기; 위치=인접주변/유증기/하부(아래); 원인=추진구역내 용접작업시 안전조치 미흡; 인적=질식; 물적=화재; 가능=M(3); 심각=M(3)	객체=기타/유증기; 위치=인접주변/유증기/하부(아래); 원인=용접 용단 작업시 화재 방지 미흡; 인적=질식; 물적=화재; 가능=H(4); 심각=M(2)	객체=기타/유증기; 위치=인접주변/유증기/하부(아래); 원인=추진구역내 용접작업시 안전조치 미흡; 인적=질식; 물적=화재; 가능=M(3); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
42	1e0f519a1f4d50e121218d4f411451fda97629dcc57fdf576efb7b4236e1e6f8	TASK	양중작업	KALIS_RISK_PROFILE	79bcb06b59d684d58f2da5ae7e981200accf6c37234d0fb7e75d5adb3b5dfdf8	건축 > 철근콘크리트공사 > 양중작업	건축 > 철근콘크리트공사	건축	3	YES	0		1	122	174	28	28	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 지붕 및 홈통공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 지정공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 창호 및 유리공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 양중작업 | KALIS_RISK_PROFILE:건축 > 해체 및 철거공사 > 양중작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 양중작업	객체=건설기계/기중기(이동식크레인 등); 위치=외부/기중기(이동식크레인 등)/바닥; 원인=지반 지지력 부족; 인적=깔림; 물적=전도; 가능=M(3); 심각=H(4)	객체=건설기계/기중기(이동식크레인 등); 위치=외부/기중기(이동식크레인 등)/고소; 원인=지반침하; 인적=깔림; 물적=전도; 가능=M(3); 심각=M(3)	객체=건설기계/기중기(이동식크레인 등); 위치=외부/기중기(이동식크레인 등)/고소; 원인=지반침하; 인적=깔림; 물적=전도; 가능=M(3); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
43	6e5bead16c10b2924e1a53cdc9c7938176c66ee82b52f4e6e9a78093af4d4712	TASK	타설작업	KALIS_RISK_PROFILE	9f90d4df662ce5f31327ff36ef51c4aa1b316b9c6e5d4bd730acbc579381245a	토목 > 교량공사 > 타설작업	토목 > 교량공사	토목	3	YES	0		1	122	158	23	23	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 지붕 및 홈통공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 지정공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 타설작업 | KALIS_RISK_PROFILE:기타 > 기타 > 타설작업 | KALIS_RISK_PROFILE:산업설비 > 가설공사 > 타설작업	객체=부재/슬래브; 위치=외부/슬래브/하부(아래); 원인=구조검토 미흡; 인적=떨어짐(분류불능); 물적=붕괴; 가능=M(3); 심각=H(4)	객체=가시설/거푸집; 위치=내부/거푸집/하부(아래); 원인=설치 불량; 인적=떨어짐(분류불능); 물적=붕괴; 가능=M(2); 심각=M(3)	객체=가시설/시스템동바리; 위치=외부/시스템동바리/고소; 원인=구조검토 미실시; 인적=떨어짐(3미터 이상 ~ 5미터 미만); 물적=붕괴; 가능=M(3); 심각=H(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
44	d0ab6e2b3e435aa1a6bfcf3073f76f0648bec7e0573832662f22012ec5470255	TASK	부설 및 다짐작업	KALIS_RISK_PROFILE	caeb1e7d30b5dd14b4bae9700931b2c84d85d0687abea332f5f926ceb702ef59	토목 > 토공사 > 부설 및 다짐작업	토목 > 토공사	토목	3	YES	0		1	120	163	21	21	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 부설 및 다짐작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 부설 및 다짐작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 부설 및 다짐작업 | KALIS_RISK_PROFILE:건축 > 방수공사 > 부설 및 다짐작업 | KALIS_RISK_PROFILE:건축 > 조경공사 > 부설 및 다짐작업 | KALIS_RISK_PROFILE:건축 > 지정공사 > 부설 및 다짐작업 | KALIS_RISK_PROFILE:기타 > 기타 > 부설 및 다짐작업 | KALIS_RISK_PROFILE:산업설비 > 산업설비공사 > 부설 및 다짐작업 | KALIS_RISK_PROFILE:토목 > 가설공사 > 부설 및 다짐작업 | KALIS_RISK_PROFILE:토목 > 관공사 > 부설 및 다짐작업	객체=건설기계/롤러; 위치=외부/롤러/뒤; 원인=출입통제 미비; 인적=부딪힘; 물적=충돌; 가능=M(3); 심각=M(2)	객체=건설기계/덤프트럭; 위치=인접주변/덤프트럭/뒤; 원인=유도자 미배치; 인적=깔림; 물적=전도; 가능=M(2); 심각=H(3)	객체=토사 및 암반/지반; 위치=내부/지반/하부(아래); 원인=무너짐-되메우기 구간 다짐도시험 계획 미수립; 인적=깔림; 물적=붕괴; 가능=M(3); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
45	2d45629c064ae3d85e7f9b42521f2d6cbb828921b6ef0f8ca3772690ab21da79	TASK	운반작업	KALIS_RISK_PROFILE	34b902f0b594a12b53c0d40651176e68d406c0736598039945b1fa586c042ce0	토목 > 토공사 > 운반작업	토목 > 토공사	토목	3	YES	0		1	120	150	25	25	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 운반작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 운반작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 운반작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 운반작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 운반작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 운반작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 운반작업 | KALIS_RISK_PROFILE:건축 > 해체 및 철거공사 > 운반작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 운반작업 | KALIS_RISK_PROFILE:기타 > 기타 > 운반작업	객체=토사 및 암반/지반; 위치=내부/지반/하부(아래); 원인=무너짐-토사 상차작업 계획도 미작성; 인적=부딪힘; 물적=붕괴; 가능=M(3); 심각=M(3)	객체=건설기계/굴착기; 위치=인접주변/굴착기/뒤; 원인=신호수 미배치; 인적=깔림; 물적=전도; 가능=M(2); 심각=M(3)	객체=건설기계/덤프트럭; 위치=외부/덤프트럭/옆; 원인=신호수 미배치; 인적=부딪힘; 물적=충돌; 가능=L(2); 심각=M(2)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
46	45de4c37242bcb2bf45d4d32787e514a0d4aa7aaf97bb0041a734b2bb4d25c42	TASK	이동	KALIS_RISK_PROFILE	cecd35c58f1428326de1d40cfbe74c317ceb0899dabdca20ac95972d26acd882	토목 > 관공사 > 이동	토목 > 관공사	토목	3	YES	0		1	119	177	34	34	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 이동 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 이동 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 이동 | KALIS_RISK_PROFILE:건축 > 금속공사 > 이동 | KALIS_RISK_PROFILE:건축 > 도장공사 > 이동 | KALIS_RISK_PROFILE:건축 > 미장공사 > 이동 | KALIS_RISK_PROFILE:건축 > 수장공사 > 이동 | KALIS_RISK_PROFILE:건축 > 지붕 및 홈통공사 > 이동 | KALIS_RISK_PROFILE:건축 > 지정공사 > 이동 | KALIS_RISK_PROFILE:건축 > 창호 및 유리공사 > 이동	객체=기타/차량; 위치=외부/차량/앞; 원인=보행자 안전시설 미설치; 인적=부딪힘; 물적=없음; 가능=M(3); 심각=H(4)	객체=부재/개구부; 위치=외부/개구부/상부(위); 원인=맨홀 미폐쇄; 인적=떨어짐(3미터 이상 ~ 5미터 미만); 물적=없음; 가능=M(3); 심각=M(3)	객체=부재/개구부; 위치=외부/개구부/상부(위); 원인=맨홀 미폐쇄; 인적=떨어짐; 물적=없음; 가능=M(3); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
47	60af48c7392dbfe32b264401af46e516702332378dbeea7488725ddb49d755da	TASK	굴착작업	KALIS_RISK_PROFILE	a98a931a02af0e7dafda62780e3a01c0142aa554a2851fba159b98f35bb6198c	건축 > 가설공사 > 굴착작업	건축 > 가설공사	건축	3	YES	0		1	118	168	31	31	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 지반조사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 지정공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 해체 및 철거공사 > 굴착작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 굴착작업 | KALIS_RISK_PROFILE:기타 > 기타 > 굴착작업	객체=가시설/흙막이가시설; 위치=인접주변/흙막이가시설/지하; 원인=버팀대 임의시공; 인적=깔림; 물적=붕괴; 가능=M(3); 심각=H(4)	객체=가시설/흙막이가시설; 위치=외부/흙막이가시설/옆; 원인=우수대책 미수립; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=H(4)	객체=가시설/안전시설물; 위치=외부/안전시설물/바닥; 원인=굴착토 관리 미흡; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=H(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
