review_concept_key	concept_form	source_key	seed_proposal_key	name	hierarchy_level	source_path	effective_semantic_kind	source_candidate_origin	owner_approval_state
c96ac36c304825c29ee231af7f514ce0ac096e0522815892526a63eb98631e39	SINGLETON	0112	1c27fb2b6ddb57c249eec187ad9f7b5429220441a8b1c1c69f63d7dc44a2362b	공사계획	W_LEAF	공사일반사항및공사비 > 공사일반사항 > 공사계획	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
18df971e963e4445f7d9de6e11e0f689795b23e52411ebe3f4e06552ab12c251	SINGLETON	0113	4f771ed8aaaa889b00cdd15bf8336bc5bc6287c697f4620743c514dff2ee98d4	서류및샘플제출	W_LEAF	공사일반사항및공사비 > 공사일반사항 > 서류및샘플제출	TASK	ORIGINAL_KEEP	NOT_APPROVED
7a439acd29dd65f69446cf3e5799efa47c52dc521704096d4356e2e021028380	SINGLETON	0114	5b82226c8c79638884fc1868a41a8feab47299949f5b56f20be6627335d08b68	검측 기성	W_LEAF	공사일반사항및공사비 > 공사일반사항 > 검측 기성	TASK	ORIGINAL_KEEP	NOT_APPROVED
2a16ffd74a0b9293c8cb8525c8541550a2648d39748806d09ded8308b50594c7	SINGLETON	0115	07afa487dbeb905134bbcead0f7de198d291587b85605382c5ee257c55904c6d	품질관리	W_LEAF	공사일반사항및공사비 > 공사일반사항 > 품질관리	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
1828313c4385bdc9e07ad785dfebebadb97bd1cfabeadeaca85452d84fdbbf0c	SINGLETON	0116	c4b54d801b0c1978cf2f30ee1f73588cfad6e6e3f7dd49a7c5a954fc0253a702	공사회의	W_LEAF	공사일반사항및공사비 > 공사일반사항 > 공사회의	TASK	ORIGINAL_KEEP	NOT_APPROVED
086cb7669fde42d8cb3ead1004aab5073c384f43c946be95d4066abffb8e0ff9	SINGLETON	0117	9ff873b9d84d1a6980eacb7320ac99da443be9442fa3a07d62fe89288dbd9737	공사관리	W_LEAF	공사일반사항및공사비 > 공사일반사항 > 공사관리	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
708f590c9f35d785d6315ee7e29238697d00dd707c7dcda6060e2e370223b385	SINGLETON	0118	05c9f8465c1350ae438b3ccd26a8de646e23d36459af8075c2a47f62ae10a22c	시운전	W_LEAF	공사일반사항및공사비 > 공사일반사항 > 시운전	TASK	ORIGINAL_KEEP	NOT_APPROVED
e53153c5f2d624a42c97eec1ac937ceb3194bc799905a8e083045a94cb260c15	SINGLETON	0119	6b31e36e31fe2cae834fd0fae21f0d8320d26d5e5fe5981f83c573c1cb4212d6	준공및하자보수	W_LEAF	공사일반사항및공사비 > 공사일반사항 > 준공및하자보수	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
97167eb2b29f689eecdc8442c8e8d8af709defa6879ba0d3ff2ed79518836e55	SINGLETON	03	c0ca4255abac56f09d5c67f6aaf964c337f57f4b95c03972b155d5aaad8e03d3	본공사성가설공사	W_ROOT	본공사성가설공사	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
2632f26ff3acc6ef60862e7365121d9799fee88bf74d042cd17a97bec9d79d25	SINGLETON	033	1faf794d96412b87fde99ab64caf8c154744e198967d20c0f1c58ddb0d9513aa	가설흙막이및지보공사	W_MID	본공사성가설공사 > 가설흙막이및지보공사	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
d5cd59a1cf991fc14c18094927699947f9cd961fc46163ee9b8359da8f2c12d1	SINGLETON	034	2a3b1c18afecac6d11341f5c3e392afb441bcc9e41339930c06b45732fd68a8d	터널가설	W_MID	본공사성가설공사 > 터널가설	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
