review_no	seed_proposal_key	source_id	source_key	name	source_path	root_name	root_source_key	parent_name	parent_source_key	parent_path	parent_semantic_kind	parent_review_decision	parent_leaf_family_policy	sibling_count	sibling_names	same_name_cicw_count	same_name_cicw_paths	same_name_other_source_count	same_name_other_source_refs	reviewed_sibling_count	reviewed_sibling_refs	lexical_cues	current_semantic_kind	current_review_decision	gpt_semantic_kind	gpt_review_decision	merge_candidate_keys	gpt_reason
1102	38756b54e66139a8a51536edd04b37dc292601480cd6f47f26c9b69c8f6138ec	CIC_W	3156	수격방지시설	토목배관공사및배수공사 > 토목배관부속설비 > 수격방지시설	토목배관공사및배수공사	31	토목배관부속설비	315	토목배관공사및배수공사 > 토목배관부속설비	FACILITY_EQUIPMENT	REJECT	NOT_ASSESSED	7	맨홀 | 변실 | 측구 | 맹암거 | 표면배수시설 | 여과설비설치 | 토목배관표식	1	토목배관공사및배수공사 > 토목배관부속설비 > 수격방지시설	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1103	0fffe84b364dcc2d6af1cee83bdc678c03d053a72ce292f99087994fddb00a01	CIC_W	3157	여과설비설치	토목배관공사및배수공사 > 토목배관부속설비 > 여과설비설치	토목배관공사및배수공사	31	토목배관부속설비	315	토목배관공사및배수공사 > 토목배관부속설비	FACILITY_EQUIPMENT	REJECT	NOT_ASSESSED	7	맨홀 | 변실 | 측구 | 맹암거 | 표면배수시설 | 수격방지시설 | 토목배관표식	1	토목배관공사및배수공사 > 토목배관부속설비 > 여과설비설치	0		0		CONTAINS_설비	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1104	e0ec89bd18b9f69d18881e0a2da89831a1159842f28aa255b2162921ec0c2a39	CIC_W	3158	토목배관표식	토목배관공사및배수공사 > 토목배관부속설비 > 토목배관표식	토목배관공사및배수공사	31	토목배관부속설비	315	토목배관공사및배수공사 > 토목배관부속설비	FACILITY_EQUIPMENT	REJECT	NOT_ASSESSED	7	맨홀 | 변실 | 측구 | 맹암거 | 표면배수시설 | 수격방지시설 | 여과설비설치	1	토목배관공사및배수공사 > 토목배관부속설비 > 토목배관표식	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1105	36f50407f54a96e6eb9af063f312646affe127f18634ca1049458e91bcb1d35e	CIC_W	3161	상수도배관검사	토목배관공사및배수공사 > 상수도관갱생 > 상수도배관검사	토목배관공사및배수공사	31	상수도관갱생	316	토목배관공사및배수공사 > 상수도관갱생	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	상수도배관청소 | 상수도배관내장애물제거 | 상수도배관보수	1	토목배관공사및배수공사 > 상수도관갱생 > 상수도배관검사	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1106	6feadf753b3cd0045ce91321fa6b0d3277766ae77f511ed0d275e2924d9ac8ab	CIC_W	3162	상수도배관청소	토목배관공사및배수공사 > 상수도관갱생 > 상수도배관청소	토목배관공사및배수공사	31	상수도관갱생	316	토목배관공사및배수공사 > 상수도관갱생	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	상수도배관검사 | 상수도배관내장애물제거 | 상수도배관보수	1	토목배관공사및배수공사 > 상수도관갱생 > 상수도배관청소	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1107	8fd4d570477fb0bdf5802cdeb109d941235e3232cacdb4d715b0053d4c9dc508	CIC_W	3163	상수도배관내장애물제거	토목배관공사및배수공사 > 상수도관갱생 > 상수도배관내장애물제거	토목배관공사및배수공사	31	상수도관갱생	316	토목배관공사및배수공사 > 상수도관갱생	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	상수도배관검사 | 상수도배관청소 | 상수도배관보수	1	토목배관공사및배수공사 > 상수도관갱생 > 상수도배관내장애물제거	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1108	6577885572a50f97fcaf107c735ad26c2e3384530b0f190ff254f66e54af9ce5	CIC_W	3164	상수도배관보수	토목배관공사및배수공사 > 상수도관갱생 > 상수도배관보수	토목배관공사및배수공사	31	상수도관갱생	316	토목배관공사및배수공사 > 상수도관갱생	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	3	상수도배관검사 | 상수도배관청소 | 상수도배관내장애물제거	1	토목배관공사및배수공사 > 상수도관갱생 > 상수도배관보수	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1109	6e2364cb64ad350f918a250902855ce4147fc7831800f044cc2043fc3595c55c	CIC_W	3171	하수도배관검사	토목배관공사및배수공사 > 하수도관갱생 > 하수도배관검사	토목배관공사및배수공사	31	하수도관갱생	317	토목배관공사및배수공사 > 하수도관갱생	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	하수도배관청소 | 하수도배관내장애물제거 | 배관내부준설 | 하수도배관보수	1	토목배관공사및배수공사 > 하수도관갱생 > 하수도배관검사	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1110	20ae6c3e01464dc91a126f52c1201c1080c505b8f706f4d163b9a32b5b78977f	CIC_W	3172	하수도배관청소	토목배관공사및배수공사 > 하수도관갱생 > 하수도배관청소	토목배관공사및배수공사	31	하수도관갱생	317	토목배관공사및배수공사 > 하수도관갱생	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	하수도배관검사 | 하수도배관내장애물제거 | 배관내부준설 | 하수도배관보수	1	토목배관공사및배수공사 > 하수도관갱생 > 하수도배관청소	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1111	208a494578492169a7e528a1cfda0f108e327351ecb457e46940a71e21fbceb2	CIC_W	3173	하수도배관내장애물제거	토목배관공사및배수공사 > 하수도관갱생 > 하수도배관내장애물제거	토목배관공사및배수공사	31	하수도관갱생	317	토목배관공사및배수공사 > 하수도관갱생	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	하수도배관검사 | 하수도배관청소 | 배관내부준설 | 하수도배관보수	1	토목배관공사및배수공사 > 하수도관갱생 > 하수도배관내장애물제거	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1112	17b668b77f2f92bd5b4179dfc5441f134164fa6a5690830c0e1efdaf79ba7243	CIC_W	3174	배관내부준설	토목배관공사및배수공사 > 하수도관갱생 > 배관내부준설	토목배관공사및배수공사	31	하수도관갱생	317	토목배관공사및배수공사 > 하수도관갱생	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	하수도배관검사 | 하수도배관청소 | 하수도배관내장애물제거 | 하수도배관보수	1	토목배관공사및배수공사 > 하수도관갱생 > 배관내부준설	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1113	94ed32e6578bd4eac1963e6bdb407b627b29c108fee07513ee27e70b413f93ea	CIC_W	3175	하수도배관보수	토목배관공사및배수공사 > 하수도관갱생 > 하수도배관보수	토목배관공사및배수공사	31	하수도관갱생	317	토목배관공사및배수공사 > 하수도관갱생	PROCESS	KEEP_AS_DISTINCT	INSUFFICIENT_EVIDENCE	4	하수도배관검사 | 하수도배관청소 | 하수도배관내장애물제거 | 배관내부준설	1	토목배관공사및배수공사 > 하수도관갱생 > 하수도배관보수	0		0		NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1114	c29139a4a886a1cf9fb67b5fb2d84686c089458dc422313a4c0854eb6b14bdb2	CIC_W	3212	보조기층	포장및도로공사 > 아스콘포장 > 보조기층	포장및도로공사	32	아스콘포장	321	포장및도로공사 > 아스콘포장	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	7	차단층 | 기층아스콘 | 중간층 | 표층아스콘 | 교량상판포장 | 미끄럼방지포장 | 특수포장	1	포장및도로공사 > 아스콘포장 > 보조기층	0		1	3211:차단층:MATERIAL_COMPONENT:REJECT	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1115	1885352b0ce9a75e0a7f0237e86a3b8faea95709de01642a3eb5449d6e117252	CIC_W	3213	기층아스콘	포장및도로공사 > 아스콘포장 > 기층아스콘	포장및도로공사	32	아스콘포장	321	포장및도로공사 > 아스콘포장	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	7	차단층 | 보조기층 | 중간층 | 표층아스콘 | 교량상판포장 | 미끄럼방지포장 | 특수포장	1	포장및도로공사 > 아스콘포장 > 기층아스콘	0		1	3211:차단층:MATERIAL_COMPONENT:REJECT	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1116	90ffef381d44d4139bab63c4c10d326d22b9e9fe5cdf8de5e2c479028acc890f	CIC_W	3214	중간층	포장및도로공사 > 아스콘포장 > 중간층	포장및도로공사	32	아스콘포장	321	포장및도로공사 > 아스콘포장	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	7	차단층 | 보조기층 | 기층아스콘 | 표층아스콘 | 교량상판포장 | 미끄럼방지포장 | 특수포장	1	포장및도로공사 > 아스콘포장 > 중간층	0		1	3211:차단층:MATERIAL_COMPONENT:REJECT	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1117	a252b950445b99985e23dc304d7a552f5759de1bb6eecf27a5b94643e28f67b6	CIC_W	3215	표층아스콘	포장및도로공사 > 아스콘포장 > 표층아스콘	포장및도로공사	32	아스콘포장	321	포장및도로공사 > 아스콘포장	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	7	차단층 | 보조기층 | 기층아스콘 | 중간층 | 교량상판포장 | 미끄럼방지포장 | 특수포장	1	포장및도로공사 > 아스콘포장 > 표층아스콘	0		1	3211:차단층:MATERIAL_COMPONENT:REJECT	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1118	4cb2ae86d2859a0d221bfd7df3c3690b051a7c678963f0f8c20ddcb41ce97183	CIC_W	3216	교량상판포장	포장및도로공사 > 아스콘포장 > 교량상판포장	포장및도로공사	32	아스콘포장	321	포장및도로공사 > 아스콘포장	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	7	차단층 | 보조기층 | 기층아스콘 | 중간층 | 표층아스콘 | 미끄럼방지포장 | 특수포장	1	포장및도로공사 > 아스콘포장 > 교량상판포장	0		1	3211:차단층:MATERIAL_COMPONENT:REJECT	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1119	d94b308c01f54672af85c7958c0e1d2f0bd164bc140a5ddd30740dc8e81aa706	CIC_W	3217	미끄럼방지포장	포장및도로공사 > 아스콘포장 > 미끄럼방지포장	포장및도로공사	32	아스콘포장	321	포장및도로공사 > 아스콘포장	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	7	차단층 | 보조기층 | 기층아스콘 | 중간층 | 표층아스콘 | 교량상판포장 | 특수포장	1	포장및도로공사 > 아스콘포장 > 미끄럼방지포장	0		1	3211:차단층:MATERIAL_COMPONENT:REJECT	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
1120	8b6d0b79c9140ba10fb4429563d39fab1b28cc857e24510f193b7da67817c28f	CIC_W	3218	특수포장	포장및도로공사 > 아스콘포장 > 특수포장	포장및도로공사	32	아스콘포장	321	포장및도로공사 > 아스콘포장	PROCESS	KEEP_AS_DISTINCT	NOT_ASSESSED	7	차단층 | 보조기층 | 기층아스콘 | 중간층 | 표층아스콘 | 교량상판포장 | 미끄럼방지포장	1	포장및도로공사 > 아스콘포장 > 특수포장	0		1	3211:차단층:MATERIAL_COMPONENT:REJECT	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
