source_id	snapshot_id	snapshot_status	source_sha256	node_count	record_count	membership_count	occurrence_sum	validation_status
CIC_W	32fe893e-8d37-4738-9a2e-82cb7bfed798	ACCEPTED	bef821019cd32ad9512f865d179852652d1f7aa9536be41b68c6e403fe0baa29	1722	0	1722	1722	PASS
KOSHA_CONSTRUCTION_PROCESS	ced3076c-01b6-4567-b453-f7aebb5e05b6	ACCEPTED	8e98fbb66d9e152a03425338d27fc738172cdf6dd5d46a36e7a5a06d80012b91	787	0	787	793	PASS
KALIS_RISK_PROFILE	ecc933fb-6241-48b3-8aaa-c79490dec65f	ACCEPTED	399dbe64dcf1b5d1445fd51e968070dd26e0a40583f8e0afc5e9219839c958c8	816	30696	31512	47559	PASS
