mapping_plan_key	source_id	source_key	canonical_id	mapping_type	mapping_status	mapping_method	evidence_basis	materialization_id	owner_approval_id	proposal_sha	approval_binding_sha	production_verified
12ed7c7e97b27968646b003a777ab4c6066aea6bc5cd115f82b9d039c0f14ecd	CIC_W	037	c21d1a95-094c-4128-9360-17e6be8b6efc	EXACT_EQUIVALENT	APPROVED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	RISK-MAP-MATERIALIZE-001	RISK-MAP-APPROVE-001	036d293c6e2fa506922c53ffcfdd44476ec903fdc639e2c12b73815d4401f026	402b4004b987169e1cc5b9b0356061794218ef45ee473839b80b72a91cf1f9ed	YES
f0cc523fc10c70eabd0fb68587056b6334ff22b172c0dd77cd30a6f4fde6b2be	CIC_W	0371	f1556510-366c-4de9-b9e5-51e2118e4566	EXACT_EQUIVALENT	APPROVED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	RISK-MAP-MATERIALIZE-001	RISK-MAP-APPROVE-001	036d293c6e2fa506922c53ffcfdd44476ec903fdc639e2c12b73815d4401f026	402b4004b987169e1cc5b9b0356061794218ef45ee473839b80b72a91cf1f9ed	YES
8fddd58f2487f5facc7d2aa55db1a676e713457adbfd1e778b8357eb993eab90	CIC_W	0372	9c499db2-5c4e-46d3-9c7f-a890fcb21a0c	EXACT_EQUIVALENT	APPROVED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	RISK-MAP-MATERIALIZE-001	RISK-MAP-APPROVE-001	036d293c6e2fa506922c53ffcfdd44476ec903fdc639e2c12b73815d4401f026	402b4004b987169e1cc5b9b0356061794218ef45ee473839b80b72a91cf1f9ed	YES
d0c9b657ac269456667d559394258f5cfe8f0f214f2f34126ae156ed28566907	CIC_W	0373	ab5e0e53-de8f-4052-96d2-bf54fc74dbe0	EXACT_EQUIVALENT	APPROVED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	RISK-MAP-MATERIALIZE-001	RISK-MAP-APPROVE-001	036d293c6e2fa506922c53ffcfdd44476ec903fdc639e2c12b73815d4401f026	402b4004b987169e1cc5b9b0356061794218ef45ee473839b80b72a91cf1f9ed	YES
41a49ef16a71633130b2da9a57751ecb34f5ed39bf37b7d570b3f780b09d7b67	CIC_W	0374	d87f8fa4-d0e1-4305-a697-ca2a81f8c846	EXACT_EQUIVALENT	APPROVED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	RISK-MAP-MATERIALIZE-001	RISK-MAP-APPROVE-001	036d293c6e2fa506922c53ffcfdd44476ec903fdc639e2c12b73815d4401f026	402b4004b987169e1cc5b9b0356061794218ef45ee473839b80b72a91cf1f9ed	YES
5c2879a36d1f640e624ae32889755ae0e7e3d280cd6245a885ae80563ccd4137	CIC_W	0375	44b2f9ed-847e-416b-a5c5-5229fa428509	EXACT_EQUIVALENT	APPROVED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	RISK-MAP-MATERIALIZE-001	RISK-MAP-APPROVE-001	036d293c6e2fa506922c53ffcfdd44476ec903fdc639e2c12b73815d4401f026	402b4004b987169e1cc5b9b0356061794218ef45ee473839b80b72a91cf1f9ed	YES
a1c7183c6d8c04aabb9b82309a3aed7fcf0e95281f9afc8f3055e0375327b87d	CIC_W	038	6b37bcbd-ef47-4be7-9eb7-7cc534a709c6	EXACT_EQUIVALENT	APPROVED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	RISK-MAP-MATERIALIZE-001	RISK-MAP-APPROVE-001	036d293c6e2fa506922c53ffcfdd44476ec903fdc639e2c12b73815d4401f026	402b4004b987169e1cc5b9b0356061794218ef45ee473839b80b72a91cf1f9ed	YES
9ca712d7f36b4727a042dd36b4cdcdee4af5f09484b1a8a58128f5de7e5dc520	CIC_W	05	0e161468-6d4d-4208-837d-a0b0aaf1ac1d	EXACT_EQUIVALENT	APPROVED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	RISK-MAP-MATERIALIZE-001	RISK-MAP-APPROVE-001	036d293c6e2fa506922c53ffcfdd44476ec903fdc639e2c12b73815d4401f026	402b4004b987169e1cc5b9b0356061794218ef45ee473839b80b72a91cf1f9ed	YES
8e951939cc3e693cd3ee6d94275e2de5cfb4ca5372fe58a99e57bca27c04bcea	CIC_W	051	26425132-352f-4b1a-85e2-88ef090df5cc	EXACT_EQUIVALENT	APPROVED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	RISK-MAP-MATERIALIZE-001	RISK-MAP-APPROVE-001	036d293c6e2fa506922c53ffcfdd44476ec903fdc639e2c12b73815d4401f026	402b4004b987169e1cc5b9b0356061794218ef45ee473839b80b72a91cf1f9ed	YES
63bd906630f3aeeca48e76bb23038de7590a86f7103af503437cd430228d8fa0	CIC_W	0511	a6b02dc8-0e65-47bf-a52a-2f656c04c159	EXACT_EQUIVALENT	APPROVED	MANUAL_REVIEW	OWNER_APPROVED_CONCEPT_MEMBERSHIP	RISK-MAP-MATERIALIZE-001	RISK-MAP-APPROVE-001	036d293c6e2fa506922c53ffcfdd44476ec903fdc639e2c12b73815d4401f026	402b4004b987169e1cc5b9b0356061794218ef45ee473839b80b72a91cf1f9ed	YES
